,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2023-12-01 09:00:00,100,90,30,0,5,5,0,15,5,5,5,0,0,0,5,5,5,5,0,0,5,5,5,5,0,0,4,0
1,2023-12-01 09:15:00,120,130,65,0,5,5,0,20,5,5,15,0,0,0,5,5,5,5,0,0,5,5,5,5,0,0,4,0
2,2023-12-01 09:30:00,165,145,70,0,40,20,0,20,5,15,15,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,4,0
3,2023-12-01 09:45:00,160,145,75,0,60,55,0,35,10,20,15,5,0,5,5,5,5,5,5,5,10,5,5,5,0,0,4,0
4,2023-12-01 10:00:00,170,155,80,0,100,15,0,35,30,0,20,5,5,5,5,5,10,10,10,10,10,5,0,5,0,5,4,0
5,2023-12-01 10:15:00,160,150,90,0,110,70,0,45,45,0,30,15,5,5,5,5,15,15,10,10,30,10,0,0,0,5,4,0
6,2023-12-01 10:30:00,150,150,100,0,110,80,0,60,50,0,30,25,5,15,5,20,15,20,15,15,25,10,0,0,0,10,4,0
7,2023-12-01 10:45:00,140,140,100,0,105,85,0,65,50,0,50,35,5,15,5,25,20,25,15,15,20,10,0,0,0,10,4,0
8,2023-12-01 11:00:00,140,130,100,0,95,80,0,45,50,0,50,35,5,20,5,30,20,30,15,15,20,10,0,0,0,10,4,0
9,2023-12-01 11:15:00,135,130,100,0,95,70,0,35,50,0,50,35,5,20,5,25,20,30,25,20,20,10,0,0,0,10,4,0
10,2023-12-01 11:30:00,150,115,100,0,100,70,0,45,45,0,40,30,5,10,5,25,20,30,25,20,20,10,0,0,0,15,4,0
11,2023-12-01 11:45:00,150,100,95,0,95,65,0,50,45,0,40,25,5,15,5,25,20,35,20,20,20,10,0,0,0,15,4,0
12,2023-12-01 12:00:00,160,95,90,0,95,65,0,45,40,0,30,20,5,15,5,30,20,30,15,20,20,20,0,0,5,15,4,0
13,2023-12-01 12:15:00,150,110,90,0,95,65,0,50,35,0,30,20,5,20,5,30,20,25,20,20,25,20,5,5,5,15,4,0
14,2023-12-01 12:30:00,160,115,95,0,95,70,0,50,35,0,40,20,5,25,5,30,20,30,20,20,25,20,5,5,5,5,4,0
15,2023-12-01 12:45:00,160,115,95,0,100,70,0,50,45,0,40,25,5,25,5,30,20,35,25,20,20,20,5,0,0,15,4,0
16,2023-12-01 13:00:00,155,115,95,0,105,70,0,50,40,0,40,25,5,25,5,30,25,35,20,20,20,20,5,0,0,15,4,0
17,2023-12-01 13:15:00,140,125,85,0,110,75,0,45,45,0,40,30,5,25,10,30,25,30,30,20,20,20,5,0,0,15,4,0
18,2023-12-01 13:30:00,140,120,80,0,110,75,0,45,45,0,40,30,5,25,10,30,25,30,30,20,25,25,0,0,0,15,4,0
19,2023-12-01 13:45:00,155,120,85,0,110,75,0,45,50,0,40,25,5,30,10,30,25,30,20,10,20,25,0,0,0,15,4,0
20,2023-12-01 14:00:00,160,125,85,0,120,80,0,45,50,0,40,25,5,25,10,30,25,30,25,15,25,20,0,0,0,15,4,0
21,2023-12-01 14:15:00,160,125,85,0,115,85,0,60,50,0,30,25,5,25,10,30,25,30,25,20,25,20,0,0,0,20,4,0
22,2023-12-01 14:30:00,160,125,85,0,120,80,0,45,45,25,30,20,5,25,10,30,25,30,25,20,20,20,15,5,5,5,4,0
23,2023-12-01 14:45:00,160,115,95,0,120,75,0,45,35,30,40,25,10,25,15,30,25,30,25,20,20,25,15,5,15,5,4,0
24,2023-12-01 15:00:00,155,105,100,0,110,75,0,60,40,35,40,25,10,25,15,35,25,30,25,20,25,25,15,5,20,5,4,0
25,2023-12-01 15:15:00,150,105,100,0,105,70,0,50,55,35,40,30,5,25,15,35,25,35,25,20,25,20,15,25,20,5,4,0
26,2023-12-01 15:30:00,160,120,100,0,115,75,0,60,40,35,40,25,5,25,15,35,30,30,30,20,25,20,15,30,20,5,4,0
27,2023-12-01 15:45:00,160,130,95,0,105,80,0,60,35,40,70,20,5,30,15,35,30,30,25,20,25,20,15,20,20,15,4,0
28,2023-12-01 16:00:00,160,145,95,0,100,80,0,60,35,45,70,20,5,30,15,35,30,30,25,20,25,20,15,20,25,0,4,0
29,2023-12-01 16:15:00,150,145,95,0,100,80,0,50,40,40,40,20,5,30,15,35,30,30,25,20,25,25,15,20,30,0,4,0
