,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2021-05-01 09:00:00,0,0,5,0,5,5,0,0,0,0,10,0,0,0,5,5,0,5,0,0,5,5,5,0,0,0,5,1
1,2021-05-01 09:15:00,0,0,20,0,15,5,0,0,5,25,10,0,0,0,5,5,0,5,0,0,5,5,5,0,5,0,5,1
2,2021-05-01 09:30:00,0,0,30,35,40,15,0,0,5,40,10,0,5,0,5,5,5,5,5,5,15,5,5,0,5,0,5,1
3,2021-05-01 09:45:00,0,0,40,35,40,30,0,0,10,40,10,20,5,0,5,10,10,5,5,5,15,5,5,0,5,0,5,1
4,2021-05-01 10:00:00,0,0,25,45,35,35,15,10,15,35,20,20,5,5,5,15,15,5,5,5,15,5,5,0,5,0,5,1
5,2021-05-01 10:15:00,0,0,15,35,30,30,5,20,10,30,30,20,5,5,5,15,5,10,5,5,10,10,5,0,5,0,5,1
6,2021-05-01 10:30:00,0,0,10,30,0,30,10,20,5,15,20,15,5,5,5,15,10,10,5,5,10,15,5,0,5,0,5,1
7,2021-05-01 10:45:00,0,0,0,0,0,50,15,25,0,15,20,15,5,5,5,0,15,10,5,5,5,5,5,0,5,0,5,1
8,2021-05-01 11:00:00,0,0,0,0,0,30,5,30,0,0,20,15,5,5,5,5,15,10,5,5,15,5,0,0,0,0,5,1
9,2021-05-01 11:15:00,0,0,0,0,0,30,10,25,5,0,20,15,5,5,5,15,15,10,5,5,20,5,0,0,0,0,5,1
10,2021-05-01 11:30:00,0,0,0,0,0,35,15,25,10,0,20,20,5,10,5,15,15,10,5,5,20,10,0,0,0,0,5,1
11,2021-05-01 11:45:00,0,0,0,0,0,35,10,25,15,15,20,20,5,10,5,20,15,15,5,5,15,10,5,0,5,0,5,1
12,2021-05-01 12:00:00,0,0,0,0,0,35,10,25,15,25,20,20,5,10,5,15,15,15,5,5,15,10,5,0,5,0,5,1
13,2021-05-01 12:15:00,0,0,0,0,0,35,25,15,15,25,20,20,5,10,5,20,15,15,5,5,10,5,5,0,5,0,5,1
14,2021-05-01 12:30:00,0,0,0,0,0,0,0,0,10,30,20,20,10,10,5,20,20,15,10,5,10,10,5,0,5,0,5,1
15,2021-05-01 12:45:00,0,0,0,0,0,0,0,0,15,30,10,10,10,15,5,20,15,20,10,5,10,5,5,0,5,5,5,1
16,2021-05-01 13:00:00,0,0,0,0,0,0,0,0,10,25,10,15,10,15,5,25,15,15,10,5,15,10,5,0,5,5,5,1
