,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2023-09-01 09:00:00,90,80,5,55,5,5,0,5,5,5,15,5,0,0,5,0,5,5,0,0,5,5,5,5,0,0,4,0
1,2023-09-01 09:15:00,90,80,60,60,10,5,0,20,5,0,15,5,0,0,5,0,5,5,0,0,5,5,5,5,0,0,4,0
2,2023-09-01 09:30:00,90,80,45,50,25,20,0,20,5,0,30,5,0,5,5,0,5,5,5,5,5,5,10,5,0,0,4,0
3,2023-09-01 09:45:00,100,90,40,40,45,40,0,20,5,0,40,0,0,5,5,0,5,10,5,5,5,5,5,5,0,0,4,0
4,2023-09-01 10:00:00,80,85,35,40,40,40,5,20,5,0,40,0,5,5,5,0,5,15,10,10,5,5,0,0,0,0,4,0
5,2023-09-01 10:15:00,80,85,35,55,55,40,15,20,15,0,40,0,5,5,5,0,10,20,10,5,10,5,0,0,0,0,4,0
6,2023-09-01 10:30:00,85,70,35,50,55,45,20,20,20,0,40,0,5,5,5,0,5,20,15,15,10,5,0,0,0,0,4,0
7,2023-09-01 10:45:00,75,50,45,35,45,20,25,25,20,0,30,20,5,5,5,0,5,20,15,10,5,5,0,0,0,0,4,0
8,2023-09-01 11:00:00,75,35,45,45,35,30,25,30,20,0,40,25,5,5,5,0,5,10,15,10,5,5,0,0,0,5,4,0
9,2023-09-01 11:15:00,75,45,45,45,30,30,20,30,20,0,40,45,5,5,5,0,5,15,15,5,5,5,0,0,0,5,4,0
10,2023-09-01 11:30:00,60,50,35,50,30,35,15,15,15,0,30,70,5,5,5,0,5,15,15,5,5,5,0,0,0,5,4,0
11,2023-09-01 11:45:00,55,50,35,45,40,35,20,30,15,0,30,70,5,5,5,0,5,20,15,10,5,5,0,0,0,5,4,0
12,2023-09-01 12:00:00,55,50,40,45,40,35,20,20,10,0,30,60,5,5,5,0,5,20,10,10,5,5,5,5,5,5,4,0
13,2023-09-01 12:15:00,60,50,40,45,20,35,25,20,10,0,30,60,5,5,5,0,5,20,10,10,10,5,5,5,5,5,4,0
14,2023-09-01 12:30:00,65,50,40,40,25,35,25,30,5,0,20,50,5,5,5,0,5,15,10,10,10,10,5,5,5,5,4,0
15,2023-09-01 12:45:00,65,50,35,40,30,40,15,20,5,0,30,45,5,5,5,0,5,20,15,10,5,10,5,5,5,5,4,0
16,2023-09-01 13:00:00,60,45,35,35,35,40,15,30,5,0,30,30,5,10,5,0,5,20,15,10,10,5,5,5,5,5,4,0
17,2023-09-01 13:15:00,50,50,35,35,35,35,15,20,5,0,50,30,5,10,5,0,5,20,20,10,5,5,5,5,5,5,4,0
