,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2021-12-01 09:00:00,30,5,10,5,5,0,0,0,5,5,5,5,0,0,5,5,5,5,5,5,0,0,5,5,0,0,2,Wednesday
1,2021-12-01 09:15:00,30,15,15,5,5,0,0,0,5,5,10,0,0,0,5,5,5,5,5,5,0,0,5,5,0,0,2,Wednesday
2,2021-12-01 09:30:00,25,40,15,10,5,0,0,0,5,5,10,0,0,5,5,5,5,5,5,5,0,0,5,5,0,0,2,Wednesday
3,2021-12-01 09:45:00,25,55,25,20,5,0,0,0,5,5,10,0,0,5,5,5,5,0,5,5,5,5,5,5,0,0,2,Wednesday
4,2021-12-01 10:00:00,30,45,30,30,10,0,10,20,5,10,10,0,5,5,5,5,5,0,5,5,5,5,5,5,0,0,2,Wednesday
5,2021-12-01 10:15:00,35,40,40,35,10,0,15,20,5,20,10,0,5,5,5,5,5,0,5,5,5,5,5,5,0,0,2,Wednesday
6,2021-12-01 10:30:00,35,40,35,30,20,0,5,20,5,20,10,0,5,5,5,5,5,0,5,5,10,10,5,5,0,0,2,Wednesday
7,2021-12-01 10:45:00,30,25,30,25,25,0,5,20,5,15,10,0,5,5,5,5,5,5,5,5,10,10,5,5,0,0,2,Wednesday
8,2021-12-01 11:00:00,25,25,40,25,25,0,10,25,10,15,10,0,5,5,5,5,5,5,5,5,10,5,0,5,0,0,2,Wednesday
9,2021-12-01 11:15:00,30,25,40,35,25,0,5,25,10,0,15,0,5,5,5,5,5,5,5,5,10,5,0,0,0,0,2,Wednesday
10,2021-12-01 11:30:00,25,25,35,35,20,0,5,25,5,0,25,5,5,5,5,5,5,5,5,5,15,5,0,0,0,0,2,Wednesday
11,2021-12-01 11:45:00,25,25,30,30,20,0,15,25,5,0,20,5,5,5,5,5,5,5,5,5,15,5,0,0,5,0,2,Wednesday
12,2021-12-01 12:00:00,30,25,30,35,20,0,20,25,10,10,20,5,5,5,5,5,5,10,5,5,15,10,5,5,5,5,2,Wednesday
13,2021-12-01 12:15:00,30,25,35,35,25,0,5,20,10,0,25,5,5,5,5,5,5,10,5,5,15,10,0,0,0,5,2,Wednesday
14,2021-12-01 12:30:00,25,25,30,35,25,0,15,25,10,0,25,5,5,5,5,10,5,10,5,5,10,15,0,0,0,5,2,Wednesday
15,2021-12-01 12:45:00,30,25,25,30,25,0,25,20,5,0,25,5,5,5,5,10,5,10,5,5,10,15,0,0,0,5,2,Wednesday
16,2021-12-01 13:00:00,25,25,25,30,25,0,5,20,5,0,25,5,5,5,5,10,5,10,5,5,15,15,0,0,0,5,2,Wednesday
17,2021-12-01 13:15:00,20,25,25,25,25,0,15,20,5,0,25,5,5,5,5,10,5,10,5,5,15,10,0,0,0,5,2,Wednesday
18,2021-12-01 13:30:00,30,25,25,35,20,0,25,20,10,0,25,5,5,5,5,10,5,10,5,5,15,10,0,0,0,5,2,Wednesday
19,2021-12-01 13:45:00,35,35,20,35,25,0,10,20,10,0,25,5,5,5,5,10,5,15,5,5,15,10,0,20,20,5,2,Wednesday
