,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2021-10-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,2021-10-01 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2,2021-10-01 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,2021-10-01 09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4,2021-10-01 10:00:00,10,5,0,5,5,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0
5,2021-10-01 10:15:00,25,10,0,5,5,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0
6,2021-10-01 10:30:00,30,15,5,25,5,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,5,0,0,4,0
7,2021-10-01 10:45:00,35,15,25,25,5,0,0,0,10,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0
8,2021-10-01 11:00:00,35,40,25,30,5,5,0,5,15,5,0,5,0,5,5,0,5,5,5,5,0,0,0,0,0,0,4,0
9,2021-10-01 11:15:00,30,40,25,30,5,5,0,5,10,5,0,5,0,5,5,0,5,5,5,5,0,0,0,0,0,0,4,0
10,2021-10-01 11:30:00,30,40,25,30,5,5,0,5,5,5,0,5,0,5,5,0,5,5,5,5,0,0,0,0,0,0,4,0
11,2021-10-01 11:45:00,30,15,20,20,5,5,0,15,5,5,0,5,0,5,5,0,5,10,5,5,0,0,0,0,0,0,4,0
12,2021-10-01 12:00:00,30,15,20,15,5,5,5,25,5,0,5,5,5,5,5,0,5,10,5,5,0,0,0,0,0,5,4,0
13,2021-10-01 12:15:00,30,15,20,15,5,5,5,25,0,0,10,5,5,5,5,0,5,10,5,5,0,0,0,0,0,5,4,0
