,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2023-06-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Thursday
1,2023-06-01 09:15:00,110,75,30,40,5,0,0,20,5,10,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,3,Thursday
2,2023-06-01 09:30:00,115,70,30,50,10,0,0,15,5,25,15,5,0,0,5,5,10,5,0,0,5,5,5,5,0,0,3,Thursday
3,2023-06-01 09:45:00,110,80,35,60,25,0,0,20,5,25,15,10,0,5,5,10,10,5,10,10,5,5,5,5,0,0,3,Thursday
4,2023-06-01 10:00:00,110,90,30,55,30,0,0,20,5,20,25,15,0,5,5,10,5,10,10,15,5,5,5,5,0,0,3,Thursday
5,2023-06-01 10:15:00,110,90,35,50,30,0,25,20,5,20,25,15,5,5,5,15,5,10,10,10,5,5,5,5,0,0,3,Thursday
6,2023-06-01 10:30:00,100,80,35,45,35,0,20,15,5,20,30,20,5,5,5,20,5,20,15,10,5,5,5,5,0,0,3,Thursday
7,2023-06-01 10:45:00,100,70,35,40,35,0,25,20,10,20,30,20,5,5,5,15,10,20,15,10,5,5,5,5,0,0,3,Thursday
8,2023-06-01 11:00:00,100,70,35,45,35,0,25,15,15,20,35,25,5,5,5,15,10,20,15,10,5,5,5,5,0,0,3,Thursday
9,2023-06-01 11:15:00,80,50,25,50,35,0,15,20,15,20,25,25,5,5,5,20,10,20,15,10,5,5,5,5,0,5,3,Thursday
10,2023-06-01 11:30:00,75,45,25,50,35,0,15,15,15,15,25,20,5,5,5,20,10,10,15,10,5,5,5,0,0,5,3,Thursday
11,2023-06-01 11:45:00,70,50,25,60,30,0,15,35,10,0,25,15,5,5,5,20,5,20,15,10,5,5,0,0,0,5,3,Thursday
12,2023-06-01 12:00:00,70,50,25,55,30,0,20,35,10,0,25,15,5,5,5,20,5,20,20,15,5,5,0,0,0,5,3,Thursday
13,2023-06-01 12:15:00,85,60,30,45,25,0,25,20,5,0,30,15,5,5,5,20,5,20,15,10,5,5,0,0,0,5,3,Thursday
14,2023-06-01 12:30:00,95,60,30,55,25,0,25,20,15,20,30,20,5,5,5,20,5,20,20,15,10,10,5,5,5,5,3,Thursday
15,2023-06-01 12:45:00,95,60,25,55,30,0,15,20,15,5,30,25,5,5,5,20,10,15,20,15,20,10,5,5,5,5,3,Thursday
16,2023-06-01 13:00:00,85,65,25,55,35,0,15,20,15,10,35,30,5,5,5,20,10,20,10,15,15,5,5,5,5,5,3,Thursday
17,2023-06-01 13:15:00,80,60,20,50,35,0,15,30,10,10,35,25,5,5,5,25,10,20,15,15,10,5,5,5,5,5,3,Thursday
18,2023-06-01 13:30:00,70,55,25,45,25,0,20,15,10,10,30,25,5,10,5,0,10,25,15,15,10,5,5,5,5,5,3,Thursday
19,2023-06-01 13:45:00,75,55,25,50,25,0,25,15,15,10,30,20,5,10,5,0,15,25,20,15,15,10,5,5,5,5,3,Thursday
20,2023-06-01 14:00:00,80,55,25,55,30,0,25,20,10,10,35,20,5,10,5,0,15,20,25,15,5,10,5,5,5,5,3,Thursday
21,2023-06-01 14:15:00,80,55,25,45,35,0,15,15,5,10,35,20,5,10,5,0,15,20,20,15,5,15,5,5,5,5,3,Thursday
22,2023-06-01 14:30:00,65,55,15,45,35,0,15,20,5,15,35,25,5,15,5,20,15,20,20,15,5,10,5,5,5,5,3,Thursday
23,2023-06-01 14:45:00,70,55,15,50,30,0,20,20,5,15,30,20,5,15,5,30,15,20,25,15,5,10,5,10,5,5,3,Thursday
24,2023-06-01 15:00:00,70,65,20,50,35,0,20,20,5,25,35,25,5,10,5,30,15,20,25,15,15,10,5,10,5,5,3,Thursday
25,2023-06-01 15:15:00,75,60,20,45,35,0,15,20,15,20,35,25,5,15,5,30,15,20,25,15,15,15,5,10,5,5,3,Thursday
26,2023-06-01 15:30:00,80,50,15,45,35,0,25,20,10,0,35,25,5,15,5,25,15,20,20,20,15,10,5,0,0,5,3,Thursday
27,2023-06-01 15:45:00,80,50,15,45,30,0,20,20,5,0,30,25,5,15,5,25,5,25,15,20,5,10,0,0,0,5,3,Thursday
28,2023-06-01 16:00:00,70,55,20,40,25,0,20,30,5,0,25,25,5,15,5,25,5,25,20,15,5,10,0,0,0,5,3,Thursday
29,2023-06-01 16:15:00,75,55,15,45,25,0,15,15,5,0,30,25,5,10,5,25,10,15,20,15,5,10,0,0,0,20,3,Thursday
30,2023-06-01 16:30:00,80,60,20,45,25,0,20,15,5,20,30,15,5,10,5,20,10,20,15,15,5,10,10,5,5,5,3,Thursday
31,2023-06-01 16:45:00,75,60,15,45,25,0,20,15,5,25,30,15,5,10,5,20,10,15,15,20,5,10,10,5,5,5,3,Thursday
32,2023-06-01 17:00:00,70,65,15,40,20,0,25,15,5,35,25,15,5,10,5,20,10,20,15,15,15,10,10,10,5,0,3,Thursday
33,2023-06-01 17:15:00,70,60,20,40,15,0,15,20,5,30,30,15,5,10,5,20,10,20,15,15,15,15,10,10,5,0,3,Thursday
34,2023-06-01 17:30:00,75,60,20,40,15,0,20,20,5,30,25,15,5,10,5,25,10,20,15,15,20,15,10,10,5,0,3,Thursday
35,2023-06-01 17:45:00,75,60,20,40,20,0,25,15,5,0,25,15,5,10,5,20,10,20,15,15,10,10,0,10,5,0,3,Thursday
36,2023-06-01 18:00:00,75,60,15,40,20,0,20,20,10,0,20,20,5,10,5,20,10,15,15,15,10,10,0,20,20,0,3,Thursday
37,2023-06-01 18:15:00,65,55,15,40,20,0,25,20,10,0,20,20,5,10,5,15,5,15,10,10,10,5,0,20,20,0,3,Thursday
38,2023-06-01 18:30:00,65,55,20,40,15,0,25,15,5,0,20,15,5,10,5,15,5,10,5,10,15,10,0,20,20,0,3,Thursday
39,2023-06-01 18:45:00,65,50,20,40,15,0,15,15,5,0,20,10,5,10,5,15,5,10,5,10,5,15,0,20,20,0,3,Thursday
40,2023-06-01 19:00:00,60,45,15,0,15,0,15,15,5,0,20,5,5,5,5,20,10,10,5,5,5,15,0,20,20,0,3,Thursday
41,2023-06-01 19:15:00,50,45,15,0,5,0,20,20,5,0,15,5,5,10,5,10,5,5,5,5,5,10,0,20,20,0,3,Thursday
42,2023-06-01 19:30:00,50,35,15,0,5,0,20,15,5,0,15,5,5,5,5,5,5,10,5,5,5,10,0,20,20,0,3,Thursday
43,2023-06-01 19:45:00,55,35,15,0,5,0,25,15,5,0,15,5,5,5,5,5,5,5,5,5,5,5,0,20,20,0,3,Thursday
44,2023-06-01 20:00:00,55,40,15,0,5,0,15,15,5,0,15,5,5,5,5,5,5,5,5,5,5,5,0,20,20,0,3,Thursday
