,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2021-07-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1,2021-07-01 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2,2021-07-01 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
3,2021-07-01 09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
4,2021-07-01 10:00:00,5,5,5,5,5,5,0,0,5,5,5,0,0,0,5,5,0,5,0,0,0,0,5,5,0,0,3,0
5,2021-07-01 10:15:00,15,5,5,5,5,5,0,0,5,5,10,0,0,0,5,5,0,5,0,0,0,0,5,5,0,0,3,0
6,2021-07-01 10:30:00,30,25,5,10,5,5,0,0,5,5,10,0,0,5,5,5,0,5,0,0,0,0,5,5,0,0,3,0
7,2021-07-01 10:45:00,30,25,5,20,5,5,0,0,5,5,10,0,0,5,5,5,0,5,0,0,0,0,5,5,0,0,3,0
8,2021-07-01 11:00:00,25,25,10,30,5,5,5,10,0,0,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,3,0
9,2021-07-01 11:15:00,25,25,15,30,10,5,5,15,0,0,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,3,0
10,2021-07-01 11:30:00,30,30,5,25,20,5,10,15,0,0,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,3,0
11,2021-07-01 11:45:00,30,25,5,25,20,5,15,15,0,5,10,0,5,5,5,5,5,5,5,5,0,0,5,5,5,0,3,0
12,2021-07-01 12:00:00,30,25,10,15,20,10,5,15,0,5,10,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,3,0
13,2021-07-01 12:15:00,30,15,5,10,20,10,10,15,0,5,10,10,5,5,5,5,5,5,5,5,0,0,5,5,5,5,3,0
14,2021-07-01 12:30:00,30,15,5,10,15,15,15,10,0,20,10,10,5,5,5,5,5,5,5,5,0,0,5,5,5,5,3,0
