,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2022-06-01 09:00:00,80,45,5,0,10,5,0,0,0,5,5,5,0,0,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
1,2022-06-01 09:15:00,80,45,45,0,15,5,0,0,0,5,15,5,0,0,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
2,2022-06-01 09:30:00,80,50,60,0,20,5,0,0,5,5,15,5,0,5,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
3,2022-06-01 09:45:00,80,50,70,0,25,25,0,0,5,20,15,5,0,5,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
4,2022-06-01 10:00:00,70,50,60,0,35,25,5,15,5,20,15,20,5,5,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
5,2022-06-01 10:15:00,60,40,60,0,25,25,25,15,5,15,15,20,5,5,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
6,2022-06-01 10:30:00,50,35,60,5,20,25,30,20,5,5,15,20,5,5,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
7,2022-06-01 10:45:00,55,35,50,25,15,15,15,20,5,5,15,15,5,5,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
8,2022-06-01 11:00:00,55,40,45,45,5,15,20,15,5,5,15,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
9,2022-06-01 11:15:00,55,40,50,45,15,20,30,20,5,5,15,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,2,Wednesday
10,2022-06-01 11:30:00,50,30,40,40,20,15,20,15,5,5,15,5,5,5,5,5,5,5,5,5,10,10,0,0,0,0,2,Wednesday
11,2022-06-01 11:45:00,45,30,35,30,20,15,25,15,5,5,15,5,5,5,5,5,5,10,5,5,5,5,0,0,0,0,2,Wednesday
12,2022-06-01 12:00:00,45,30,40,30,20,15,30,20,5,0,15,5,5,5,5,5,5,10,5,5,5,5,0,0,0,0,2,Wednesday
13,2022-06-01 12:15:00,45,35,40,30,10,20,15,20,5,0,15,5,5,5,5,5,5,10,5,5,5,5,5,5,5,0,2,Wednesday
14,2022-06-01 12:30:00,55,40,45,35,10,20,25,20,10,5,15,5,5,5,5,5,5,10,5,5,5,5,10,5,5,0,2,Wednesday
15,2022-06-01 12:45:00,45,35,40,40,20,15,15,20,5,5,15,5,5,5,5,5,5,10,5,5,5,5,10,5,5,0,2,Wednesday
16,2022-06-01 13:00:00,45,35,45,40,15,15,15,20,5,5,15,5,5,5,5,5,5,10,5,5,10,5,10,5,5,0,2,Wednesday
17,2022-06-01 13:15:00,45,40,50,35,15,15,25,20,5,5,15,5,5,5,5,5,5,10,5,5,5,5,10,5,5,0,2,Wednesday
18,2022-06-01 13:30:00,50,40,50,25,15,10,15,20,5,5,15,5,5,5,5,5,5,10,5,5,5,5,10,5,5,0,2,Wednesday
19,2022-06-01 13:45:00,55,40,55,25,15,15,20,10,5,5,15,5,5,5,5,5,5,10,5,5,5,5,10,5,5,0,2,Wednesday
20,2022-06-01 14:00:00,50,45,55,35,20,15,25,15,5,10,15,5,5,5,5,5,5,15,5,5,5,5,10,5,5,0,2,Wednesday
21,2022-06-01 14:15:00,50,45,45,40,20,15,15,15,5,10,15,10,5,5,5,5,5,15,5,5,5,5,10,5,5,0,2,Wednesday
22,2022-06-01 14:30:00,40,50,50,35,25,15,20,15,5,10,15,10,5,5,5,5,5,15,5,10,5,5,10,5,5,0,2,Wednesday
23,2022-06-01 14:45:00,40,50,50,30,20,20,25,15,5,5,15,10,5,5,5,5,5,15,5,5,5,5,0,0,0,0,2,Wednesday
24,2022-06-01 15:00:00,40,40,50,30,10,15,15,15,5,0,15,10,5,5,5,5,5,10,5,5,5,5,0,0,0,0,2,Wednesday
