,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2023-08-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2023-08-01 09:15:00,140,110,50,55,10,10,0,15,5,5,15,10,0,0,5,5,5,5,0,0,5,5,5,5,0,0,1,0
2,2023-08-01 09:30:00,140,120,70,70,30,40,0,20,10,20,30,0,0,0,5,5,5,15,0,0,10,5,5,5,0,0,1,0
3,2023-08-01 09:45:00,140,110,65,65,70,45,0,35,0,20,50,0,0,0,5,15,10,15,15,10,15,5,5,5,0,0,1,0
4,2023-08-01 10:00:00,130,110,60,0,80,50,0,35,5,0,50,0,0,0,5,25,20,30,25,25,15,5,0,5,0,0,1,0
5,2023-08-01 10:15:00,115,115,50,0,85,60,20,30,30,0,50,0,5,0,5,25,15,30,25,20,15,5,0,5,0,0,1,0
6,2023-08-01 10:30:00,115,110,55,0,80,60,20,35,45,0,50,5,5,0,5,25,20,30,25,20,15,5,0,5,0,0,1,0
7,2023-08-01 10:45:00,115,110,110,0,70,50,25,35,45,0,50,0,5,0,5,25,20,30,25,20,15,5,0,5,0,0,1,0
8,2023-08-01 11:00:00,100,100,140,10,60,50,30,40,45,0,50,0,5,0,5,25,15,30,30,20,30,10,0,5,0,0,1,0
9,2023-08-01 11:15:00,100,0,140,55,60,45,30,40,60,0,50,0,5,0,5,25,10,35,30,25,15,5,0,0,0,5,1,0
10,2023-08-01 11:30:00,100,0,120,90,45,45,30,35,60,0,50,0,5,0,5,25,15,35,30,20,15,5,5,5,0,5,1,0
11,2023-08-01 11:45:00,100,0,110,90,40,45,35,35,60,5,50,0,5,0,5,30,15,35,30,25,15,5,15,5,0,5,1,0
12,2023-08-01 12:00:00,100,0,50,90,40,40,35,35,65,5,50,0,5,0,5,25,15,35,30,20,15,5,10,5,0,5,1,0
13,2023-08-01 12:15:00,95,0,50,90,50,45,25,40,55,0,30,30,5,0,5,25,15,30,20,20,15,5,0,0,0,5,1,0
14,2023-08-01 12:30:00,0,0,40,90,55,45,25,40,35,0,40,45,5,0,5,25,20,30,20,20,15,15,0,0,0,5,1,0
15,2023-08-01 12:45:00,0,30,40,80,55,40,30,40,35,0,50,45,5,0,5,30,20,25,25,20,15,15,0,0,0,5,1,0
16,2023-08-01 13:00:00,0,80,70,80,55,45,30,15,40,5,50,50,5,0,5,25,20,30,25,20,15,15,5,5,5,5,1,0
17,2023-08-01 13:15:00,45,0,0,90,60,55,35,20,35,0,50,50,5,0,5,25,20,35,15,20,5,15,0,0,0,5,1,0
18,2023-08-01 13:30:00,0,0,0,100,55,0,0,20,35,0,50,0,5,0,0,25,20,40,35,30,0,0,0,0,0,0,1,0
19,2023-08-01 13:45:00,0,0,0,0,45,0,0,0,35,0,50,0,5,0,0,25,20,40,40,30,0,0,0,0,0,0,1,0
20,2023-08-01 14:00:00,70,0,30,100,50,10,25,0,35,0,55,5,5,0,5,25,10,40,40,30,0,0,0,0,0,0,1,0
21,2023-08-01 14:15:00,120,0,65,100,55,5,30,15,5,15,55,30,5,0,5,10,15,35,35,30,5,5,5,5,5,5,1,0
