,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2023-07-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Saturday
1,2023-07-01 09:15:00,130,25,55,40,20,15,0,20,5,5,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,5,Saturday
2,2023-07-01 09:30:00,140,85,45,50,30,20,0,20,5,5,25,5,0,0,5,5,5,10,0,0,5,5,5,5,0,0,5,Saturday
3,2023-07-01 09:45:00,140,90,35,55,30,15,0,15,5,5,20,5,0,0,5,5,5,15,5,10,5,5,5,5,0,0,5,Saturday
4,2023-07-01 10:00:00,140,90,40,55,40,10,0,25,10,5,25,5,0,0,5,5,5,20,5,20,5,5,5,5,0,0,5,Saturday
5,2023-07-01 10:15:00,140,90,55,55,40,5,20,35,10,5,25,5,5,0,5,5,5,25,25,20,5,5,10,5,0,0,5,Saturday
6,2023-07-01 10:30:00,120,90,55,50,30,5,20,25,15,5,30,10,5,0,5,5,5,25,25,15,5,5,10,5,0,0,5,Saturday
7,2023-07-01 10:45:00,110,85,50,45,30,5,25,15,15,5,30,10,5,0,5,5,5,35,20,15,10,5,10,5,0,0,5,Saturday
8,2023-07-01 11:00:00,85,80,35,0,35,0,15,30,15,5,30,10,5,0,5,5,5,35,20,15,5,5,10,5,0,0,5,Saturday
9,2023-07-01 11:15:00,85,80,40,0,35,0,15,30,15,5,25,10,5,0,5,5,5,30,20,20,5,5,10,5,0,5,5,Saturday
10,2023-07-01 11:30:00,90,75,40,0,35,0,15,20,15,5,30,10,5,0,5,5,5,35,20,20,5,5,10,5,0,5,5,Saturday
11,2023-07-01 11:45:00,90,70,45,0,35,0,15,25,15,5,30,10,5,0,5,10,5,30,20,20,5,5,10,5,0,5,5,Saturday
12,2023-07-01 12:00:00,95,65,45,0,40,0,20,20,15,5,30,5,5,0,5,15,5,30,25,15,5,5,10,5,0,5,5,Saturday
13,2023-07-01 12:15:00,100,65,45,10,40,0,20,30,15,5,30,5,5,0,5,10,5,30,25,20,5,10,10,5,0,5,5,Saturday
14,2023-07-01 12:30:00,110,75,45,30,35,5,25,20,10,5,30,5,5,0,5,5,5,30,20,15,10,15,10,5,10,5,5,Saturday
15,2023-07-01 12:45:00,100,75,40,45,35,5,25,15,5,5,30,5,5,0,20,5,5,30,25,15,10,10,10,5,15,5,5,Saturday
16,2023-07-01 13:00:00,90,75,40,50,30,15,15,30,5,5,30,5,5,0,20,5,5,30,20,15,5,5,10,5,15,5,5,Saturday
17,2023-07-01 13:15:00,90,70,35,50,30,25,15,20,5,5,30,10,5,0,20,40,5,30,20,15,5,5,5,5,15,5,5,Saturday
18,2023-07-01 13:30:00,80,70,45,70,30,40,25,20,5,5,20,20,5,0,20,25,10,25,10,15,5,5,5,10,15,5,5,Saturday
19,2023-07-01 13:45:00,100,70,45,65,25,30,25,20,5,20,20,30,5,0,20,25,15,20,15,5,5,5,5,5,15,5,5,Saturday
20,2023-07-01 14:00:00,100,75,35,75,30,35,25,25,5,15,20,30,5,0,20,25,15,20,15,5,5,5,5,5,15,5,5,Saturday
21,2023-07-01 14:15:00,110,75,30,75,30,40,15,30,5,15,30,30,5,0,20,15,10,20,15,5,5,5,5,5,15,5,5,Saturday
22,2023-07-01 14:30:00,85,70,30,70,25,35,15,15,5,15,30,35,5,0,20,15,10,20,20,5,5,5,5,5,15,5,5,Saturday
23,2023-07-01 14:45:00,85,65,30,70,25,15,20,20,5,15,20,35,5,0,20,15,15,25,15,5,5,5,5,5,15,5,5,Saturday
24,2023-07-01 15:00:00,85,70,35,65,25,45,20,20,5,15,20,35,5,0,20,20,15,25,15,5,10,10,5,5,5,5,5,Saturday
25,2023-07-01 15:15:00,100,65,30,50,25,45,15,20,5,20,30,40,5,0,20,25,15,10,15,5,15,10,5,10,5,5,5,Saturday
26,2023-07-01 15:30:00,110,65,35,55,30,40,25,20,5,0,30,40,5,0,20,20,10,10,15,10,15,10,5,5,0,5,5,Saturday
27,2023-07-01 15:45:00,100,65,35,55,30,30,15,35,5,0,25,40,5,0,20,20,10,20,15,10,5,10,0,0,0,5,5,Saturday
28,2023-07-01 16:00:00,90,70,35,55,25,25,15,20,5,0,30,40,5,0,5,15,10,15,15,5,5,15,0,0,0,20,5,Saturday
29,2023-07-01 16:15:00,85,75,35,55,15,35,15,15,5,0,30,35,5,0,5,5,5,15,10,5,5,10,0,0,0,15,5,Saturday
30,2023-07-01 16:30:00,100,80,35,40,20,35,20,30,5,15,30,25,5,0,5,20,5,15,10,5,5,5,5,5,5,5,5,Saturday
31,2023-07-01 16:45:00,105,80,30,40,30,30,25,15,5,15,30,30,5,0,5,20,10,20,10,5,5,5,5,5,5,0,5,Saturday
32,2023-07-01 17:00:00,105,70,35,40,25,30,25,40,5,15,20,30,5,0,5,20,15,20,10,5,15,5,5,5,5,0,5,Saturday
33,2023-07-01 17:15:00,110,70,40,50,20,30,15,20,5,25,20,35,5,0,5,20,15,20,15,5,15,5,5,5,5,0,5,Saturday
34,2023-07-01 17:30:00,100,70,30,55,20,35,15,20,5,25,30,35,5,0,5,15,10,15,10,5,10,5,5,5,5,0,5,Saturday
35,2023-07-01 17:45:00,90,70,25,50,20,25,15,15,5,30,30,35,5,0,5,20,10,20,15,5,10,5,5,5,5,0,5,Saturday
36,2023-07-01 18:00:00,85,60,25,50,15,30,20,20,5,0,25,30,5,0,5,20,10,15,5,5,5,5,0,0,0,0,5,Saturday
37,2023-07-01 18:15:00,85,50,25,45,15,30,25,15,5,0,25,30,5,0,5,20,10,15,10,10,5,5,0,0,0,0,5,Saturday
38,2023-07-01 18:30:00,100,60,25,35,15,25,25,15,5,0,25,25,5,0,5,15,10,20,10,10,15,10,0,20,20,0,5,Saturday
39,2023-07-01 18:45:00,100,55,25,40,15,25,15,20,5,0,15,20,5,0,5,15,10,15,10,10,5,10,0,20,20,0,5,Saturday
40,2023-07-01 19:00:00,85,50,20,40,5,15,30,20,5,0,15,20,5,0,5,15,10,15,10,10,5,10,0,20,20,0,5,Saturday
41,2023-07-01 19:15:00,75,45,20,35,5,15,15,15,5,0,15,20,5,0,5,10,10,10,5,5,5,10,0,20,20,0,5,Saturday
42,2023-07-01 19:30:00,70,40,15,20,5,10,20,15,5,0,15,15,5,0,5,5,5,5,5,5,5,10,0,20,20,0,5,Saturday
43,2023-07-01 19:45:00,50,30,10,15,5,5,15,15,5,0,15,5,5,0,5,5,5,5,5,5,5,5,0,20,20,0,5,Saturday
44,2023-07-01 20:00:00,45,25,10,15,5,5,25,20,5,0,15,5,5,0,5,5,5,5,5,5,5,5,0,20,20,0,5,Saturday
45,2023-07-01 20:15:00,0,35,20,20,5,5,15,15,5,0,15,5,5,0,5,5,5,5,5,5,5,5,0,20,20,0,5,Saturday
