,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2022-12-01 09:00:00,140,90,100,0,15,15,0,5,10,5,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,3,0
1,2022-12-01 09:15:00,140,90,115,0,15,20,0,25,5,10,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,3,0
2,2022-12-01 09:30:00,130,80,100,0,30,30,0,20,5,10,15,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,3,0
3,2022-12-01 09:45:00,130,75,100,0,35,30,0,20,10,10,15,5,0,5,5,10,10,15,5,5,5,5,5,5,0,0,3,0
4,2022-12-01 10:00:00,130,80,90,0,40,35,30,20,5,10,15,5,5,5,5,15,10,15,10,10,5,5,5,5,0,0,3,0
5,2022-12-01 10:15:00,120,80,80,0,40,35,20,10,5,10,15,5,5,5,5,10,5,25,10,10,5,5,5,5,0,0,3,0
6,2022-12-01 10:30:00,120,80,90,0,35,35,20,25,5,10,15,5,5,5,5,10,5,15,10,10,5,5,5,5,0,0,3,0
7,2022-12-01 10:45:00,110,80,100,0,35,35,15,15,5,10,15,5,5,5,5,5,5,20,15,15,5,5,5,5,0,0,3,0
8,2022-12-01 11:00:00,100,80,100,0,40,40,15,15,10,10,15,5,5,5,5,5,5,15,15,10,5,5,5,5,0,5,3,0
9,2022-12-01 11:15:00,100,70,100,0,45,35,15,15,10,5,15,5,5,5,5,15,10,15,15,10,5,5,0,0,0,5,3,0
10,2022-12-01 11:30:00,90,70,90,0,40,40,15,15,10,0,15,5,5,5,5,15,5,20,15,10,5,5,0,0,0,5,3,0
11,2022-12-01 11:45:00,90,60,80,0,40,35,30,20,10,0,15,10,5,5,5,15,5,15,15,10,5,5,0,0,0,5,3,0
12,2022-12-01 12:00:00,100,60,75,0,35,35,15,20,15,0,15,10,5,5,5,25,5,20,15,10,10,5,0,0,0,5,3,0
13,2022-12-01 12:15:00,100,70,90,0,40,35,25,20,15,15,15,10,5,5,5,20,5,20,15,15,15,5,0,5,5,5,3,0
14,2022-12-01 12:30:00,110,70,90,0,40,40,25,20,15,5,15,10,5,5,5,15,10,20,15,15,10,5,0,5,5,5,3,0
15,2022-12-01 12:45:00,110,70,90,0,40,35,15,25,10,5,15,10,5,5,5,20,10,25,10,5,10,10,0,5,5,5,3,0
16,2022-12-01 13:00:00,110,70,90,0,45,35,20,25,15,5,15,10,5,5,5,20,10,25,15,10,10,10,0,5,5,5,3,0
17,2022-12-01 13:15:00,120,60,90,0,40,35,20,15,15,5,15,5,5,5,5,15,5,25,20,10,10,10,0,5,5,5,3,0
18,2022-12-01 13:30:00,120,70,85,0,45,35,20,20,15,5,15,5,5,5,5,20,5,25,20,20,10,10,0,5,5,5,3,0
19,2022-12-01 13:45:00,100,70,90,0,40,30,25,40,15,5,15,5,5,5,5,20,10,25,20,15,15,10,5,5,5,5,3,0
20,2022-12-01 14:00:00,100,70,90,0,35,35,30,20,15,5,15,10,5,10,5,25,15,25,20,15,15,10,5,5,5,5,3,0
21,2022-12-01 14:15:00,100,70,80,0,45,40,30,20,15,5,15,10,5,10,5,20,10,20,20,15,15,5,5,5,5,5,3,0
22,2022-12-01 14:30:00,100,70,80,0,45,40,20,20,10,5,15,5,5,10,5,25,5,25,20,15,5,5,5,5,5,5,3,0
23,2022-12-01 14:45:00,100,70,85,0,45,40,20,25,10,5,15,5,5,15,5,25,10,25,20,15,5,5,0,0,0,5,3,0
24,2022-12-01 15:00:00,90,70,90,0,45,40,20,30,20,0,15,5,5,15,5,25,15,25,15,10,15,5,0,0,0,5,3,0
25,2022-12-01 15:15:00,90,60,90,0,35,40,15,30,15,0,15,10,5,15,5,20,10,25,10,10,15,5,0,0,0,5,3,0
26,2022-12-01 15:30:00,95,70,0,0,35,40,15,20,10,0,15,5,5,15,5,15,5,25,10,10,5,10,0,0,0,5,3,0
27,2022-12-01 15:45:00,100,75,0,0,35,40,20,30,15,15,15,5,5,15,5,15,5,25,10,10,5,10,5,5,5,5,3,0
28,2022-12-01 16:00:00,90,70,0,0,35,30,20,20,10,15,15,5,5,10,5,20,10,25,20,10,5,10,5,5,5,5,3,0
29,2022-12-01 16:15:00,90,65,5,0,35,30,25,30,5,15,15,5,5,10,5,20,10,20,20,10,5,10,5,5,5,5,3,0
30,2022-12-01 16:30:00,90,65,110,0,35,35,15,30,5,15,25,5,5,10,5,20,10,20,15,10,5,10,5,5,5,5,3,0
31,2022-12-01 16:45:00,90,70,110,0,30,35,20,30,5,15,25,5,5,10,5,20,10,25,15,5,5,10,5,5,5,5,3,0
32,2022-12-01 17:00:00,90,70,70,0,30,35,20,15,5,35,20,5,5,10,5,15,10,25,15,5,15,10,5,5,5,0,3,0
33,2022-12-01 17:15:00,80,70,70,0,25,35,25,20,5,35,20,5,5,10,5,15,10,20,15,5,10,10,5,5,5,0,3,0
34,2022-12-01 17:30:00,80,70,75,0,20,30,25,20,5,45,15,5,5,10,5,15,10,15,10,5,5,10,5,5,5,0,3,0
35,2022-12-01 17:45:00,80,60,75,0,20,25,25,15,5,0,15,5,5,5,5,5,10,20,15,5,5,10,5,5,5,0,3,0
36,2022-12-01 18:00:00,70,55,85,0,20,30,25,15,5,0,15,5,5,10,5,10,10,15,10,5,5,10,0,0,0,0,3,0
37,2022-12-01 18:15:00,60,50,95,0,15,30,0,20,5,0,15,5,5,10,5,10,10,15,10,5,10,10,0,0,0,0,3,0
38,2022-12-01 18:30:00,55,55,80,0,20,25,0,15,5,0,15,10,5,5,5,10,10,15,10,5,5,15,0,0,0,0,3,0
39,2022-12-01 18:45:00,55,50,70,0,15,20,0,15,5,0,15,15,5,5,5,5,10,15,10,5,5,10,0,0,0,0,3,0
40,2022-12-01 19:00:00,45,40,55,0,10,20,0,15,5,0,15,20,5,5,5,10,10,10,5,5,5,5,0,0,0,0,3,0
41,2022-12-01 19:15:00,50,40,55,0,5,20,0,15,5,0,15,15,5,5,5,5,10,10,5,5,5,5,0,0,0,0,3,0
42,2022-12-01 19:30:00,40,30,55,0,5,15,0,15,5,0,15,5,5,5,5,5,10,5,5,5,5,10,0,0,0,0,3,0
43,2022-12-01 19:45:00,35,25,45,0,5,10,0,15,5,0,15,5,5,5,5,5,10,5,5,5,5,5,0,0,0,0,3,0
44,2022-12-01 20:00:00,35,20,45,0,5,5,0,0,5,0,15,5,5,5,5,5,10,5,5,5,5,5,0,0,0,0,3,0
45,2022-12-01 20:15:00,0,0,45,0,5,5,0,0,5,0,15,5,5,5,5,5,10,5,5,5,5,5,0,0,0,0,3,0
46,2022-12-01 20:30:00,0,0,0,0,5,15,0,0,10,0,15,5,5,5,5,5,10,5,5,5,5,5,0,0,0,0,3,0
47,2022-12-01 20:45:00,0,0,0,0,5,10,0,0,5,0,15,5,5,5,5,5,10,5,5,5,5,5,0,0,0,0,3,0
48,2022-12-02 09:00:00,175,0,120,0,30,20,0,40,5,5,5,5,0,0,5,5,5,15,0,0,5,5,5,5,0,0,4,0
49,2022-12-02 09:15:00,190,0,100,0,30,25,0,30,10,10,15,5,0,0,5,5,5,10,0,0,5,5,5,5,0,0,4,0
50,2022-12-02 09:30:00,170,0,130,0,50,40,0,30,10,10,20,5,0,5,5,10,15,15,5,5,5,5,5,5,0,0,4,0
51,2022-12-02 09:45:00,140,0,130,0,55,45,0,35,15,25,20,5,0,10,5,15,15,15,20,5,10,5,5,5,0,0,4,0
52,2022-12-02 10:00:00,120,90,120,0,55,45,10,20,15,25,20,15,0,10,5,25,20,15,15,5,10,5,5,5,0,0,4,0
53,2022-12-02 10:15:00,120,110,110,0,55,45,20,25,20,25,20,15,0,10,5,20,15,20,15,10,10,5,5,5,0,0,4,0
54,2022-12-02 10:30:00,110,130,100,0,50,40,20,35,25,35,20,15,0,10,5,20,15,20,20,20,15,5,5,5,0,0,4,0
55,2022-12-02 10:45:00,115,135,110,0,45,40,20,45,25,35,20,15,0,10,5,20,15,20,20,20,20,5,5,5,0,0,4,0
