,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2023-11-01 09:00:00,65,5,5,20,5,5,0,15,0,5,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,2,0
1,2023-11-01 09:15:00,100,80,20,40,5,5,0,20,0,5,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,2,0
2,2023-11-01 09:30:00,120,100,35,55,30,10,0,15,0,5,15,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,2,0
3,2023-11-01 09:45:00,120,100,85,70,60,45,0,20,0,20,15,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,2,0
4,2023-11-01 10:00:00,115,110,90,85,90,55,0,35,0,35,60,10,5,10,5,5,15,10,10,10,5,5,15,5,0,0,2,0
5,2023-11-01 10:15:00,125,105,90,100,90,60,0,45,0,35,60,20,5,10,5,5,15,20,15,20,5,5,15,5,0,0,2,0
6,2023-11-01 10:30:00,130,105,90,100,80,60,0,45,0,35,50,20,5,15,5,25,20,25,25,20,20,5,15,5,0,0,2,0
7,2023-11-01 10:45:00,110,110,80,100,70,60,0,35,0,30,50,40,5,20,5,30,20,30,25,20,20,5,15,5,0,0,2,0
8,2023-11-01 11:00:00,110,110,80,95,75,60,0,40,0,0,50,40,5,20,5,25,20,30,30,20,15,10,0,5,0,5,2,0
9,2023-11-01 11:15:00,105,110,80,0,80,60,0,35,0,0,50,40,5,20,5,25,20,30,30,25,20,10,0,0,0,5,2,0
10,2023-11-01 11:30:00,120,110,75,0,80,70,0,45,0,0,50,30,5,20,5,30,25,35,30,25,15,10,0,0,0,5,2,0
11,2023-11-01 11:45:00,110,100,85,0,80,70,0,45,0,0,50,30,5,25,5,35,25,35,30,25,15,15,0,0,0,10,2,0
12,2023-11-01 12:00:00,110,100,85,0,80,75,0,45,0,0,70,30,5,25,10,30,30,35,30,25,15,15,0,0,5,10,2,0
13,2023-11-01 12:15:00,120,110,95,0,95,75,0,45,0,25,70,40,10,30,15,30,30,40,30,25,25,15,10,5,10,10,2,0
