,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2022-09-01 09:00:00,100,65,90,40,30,5,0,0,5,5,15,5,0,0,5,5,5,5,5,5,0,0,0,0,0,0,3,Thursday
1,2022-09-01 09:15:00,90,70,90,40,30,5,0,0,5,5,15,5,0,0,5,5,5,5,5,5,0,0,0,0,0,0,3,Thursday
2,2022-09-01 09:30:00,0,0,0,75,0,0,0,0,5,0,15,5,0,0,0,0,0,10,5,5,0,0,0,0,0,0,3,Thursday
3,2022-09-01 09:45:00,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,5,0,0,0,0,0,0,3,Thursday
4,2022-09-01 10:00:00,90,60,60,55,25,0,0,5,15,0,15,5,5,5,5,5,5,10,5,5,0,0,0,0,0,0,3,Thursday
5,2022-09-01 10:15:00,65,60,60,45,25,0,0,15,5,0,15,5,5,5,5,5,5,10,5,5,0,0,0,0,0,0,3,Thursday
6,2022-09-01 10:30:00,65,55,65,45,30,10,20,15,5,0,15,5,5,5,5,5,5,10,5,5,0,0,0,0,0,0,3,Thursday
7,2022-09-01 10:45:00,70,55,60,45,30,25,20,15,5,0,15,5,5,5,5,5,5,10,5,5,0,0,0,0,0,0,3,Thursday
8,2022-09-01 11:00:00,60,45,55,40,30,25,15,20,10,5,15,5,5,5,5,5,5,10,5,5,0,0,0,0,0,5,3,Thursday
9,2022-09-01 11:15:00,60,25,55,35,30,30,15,20,10,5,15,5,5,5,5,5,5,15,5,5,0,0,0,0,0,5,3,Thursday
10,2022-09-01 11:30:00,55,35,55,35,30,25,15,20,10,0,15,5,5,5,5,5,5,15,5,5,0,0,0,0,0,5,3,Thursday
11,2022-09-01 11:45:00,50,40,55,30,30,25,15,20,5,0,15,5,5,5,5,5,5,10,5,5,0,0,0,0,0,5,3,Thursday
12,2022-09-01 12:00:00,70,45,45,30,25,25,20,20,5,0,15,5,5,5,5,5,5,10,5,5,0,0,5,5,0,5,3,Thursday
13,2022-09-01 12:15:00,70,50,45,35,20,25,25,15,5,5,15,5,5,5,5,5,5,5,5,5,0,0,10,5,0,5,3,Thursday
14,2022-09-01 12:30:00,50,35,45,40,20,25,25,20,5,5,15,5,5,5,5,5,5,15,5,5,0,0,10,5,0,5,3,Thursday
15,2022-09-01 12:45:00,50,35,40,40,25,25,20,15,5,5,15,5,5,5,5,5,5,15,5,5,0,0,10,5,0,5,3,Thursday
16,2022-09-01 13:00:00,50,50,45,35,30,25,15,20,5,5,15,5,5,5,5,5,5,20,5,5,0,0,10,5,0,5,3,Thursday
17,2022-09-01 13:15:00,55,50,50,30,20,25,20,20,5,5,15,5,5,5,5,5,5,15,5,5,0,0,10,5,0,5,3,Thursday
