,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2022-02-01 09:00:00,35,25,30,0,20,5,0,0,20,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,0,0,1,Tuesday
1,2022-02-01 09:15:00,25,45,50,0,35,10,0,0,15,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,0,0,1,Tuesday
2,2022-02-01 09:30:00,25,70,60,0,40,30,0,0,15,5,20,15,0,5,5,5,5,5,5,5,5,5,5,5,0,0,1,Tuesday
3,2022-02-01 09:45:00,30,60,70,0,45,35,0,0,25,10,25,20,0,5,5,15,5,5,5,5,10,5,5,5,0,0,1,Tuesday
4,2022-02-01 10:00:00,30,55,60,0,45,45,15,5,25,15,25,20,5,5,5,15,10,5,5,10,5,5,5,5,0,0,1,Tuesday
5,2022-02-01 10:15:00,25,35,45,0,45,45,20,25,25,15,25,20,5,5,5,20,10,5,5,10,5,5,5,5,0,0,1,Tuesday
6,2022-02-01 10:30:00,25,30,45,0,35,40,30,25,10,10,25,5,5,5,5,20,10,15,5,10,10,10,5,5,0,0,1,Tuesday
7,2022-02-01 10:45:00,25,25,50,0,40,35,15,20,10,10,35,5,5,5,5,20,5,15,10,10,5,5,5,5,0,0,1,Tuesday
8,2022-02-01 11:00:00,25,25,50,0,40,40,20,20,10,10,35,5,5,5,5,15,5,15,10,10,5,5,0,5,0,0,1,Tuesday
9,2022-02-01 11:15:00,25,20,50,0,40,45,30,20,10,0,35,5,5,5,5,15,5,15,10,5,5,5,0,0,0,0,1,Tuesday
10,2022-02-01 11:30:00,20,20,40,0,40,45,15,20,10,0,35,5,5,5,5,15,5,15,10,5,10,5,0,0,0,0,1,Tuesday
11,2022-02-01 11:45:00,25,20,40,0,40,35,20,20,15,5,35,5,5,5,5,15,5,10,10,5,10,5,5,5,5,0,1,Tuesday
12,2022-02-01 12:00:00,30,25,45,0,35,40,30,25,10,5,35,5,5,5,5,15,5,10,5,5,5,15,5,5,5,5,1,Tuesday
13,2022-02-01 12:15:00,30,25,45,0,35,40,15,25,5,5,25,5,5,5,5,15,5,10,5,5,5,10,5,5,5,5,1,Tuesday
14,2022-02-01 12:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tuesday
15,2022-02-01 12:45:00,25,20,40,0,40,30,30,25,15,5,25,5,5,5,5,15,5,15,10,5,5,10,0,0,5,5,1,Tuesday
16,2022-02-01 13:00:00,30,20,50,0,35,35,20,20,10,0,25,5,5,5,5,15,5,15,10,10,15,10,0,20,20,5,1,Tuesday
17,2022-02-01 13:15:00,30,25,50,0,40,35,25,25,10,0,25,5,5,5,5,10,5,15,10,10,5,15,0,20,20,5,1,Tuesday
18,2022-02-01 13:30:00,25,25,45,0,35,35,30,20,20,5,25,5,5,5,5,10,5,15,5,5,5,15,0,20,20,5,1,Tuesday
19,2022-02-01 13:45:00,20,25,40,0,40,35,20,20,20,5,25,5,5,5,5,10,5,15,5,5,5,15,0,20,20,5,1,Tuesday
20,2022-02-01 14:00:00,25,25,50,0,35,35,25,20,10,0,35,5,5,5,5,10,5,15,5,5,5,15,0,20,20,5,1,Tuesday
21,2022-02-01 14:15:00,25,25,50,0,45,45,20,20,10,0,35,15,5,5,5,20,5,15,10,5,15,15,0,20,20,5,1,Tuesday
22,2022-02-01 14:30:00,25,25,50,0,40,45,20,25,15,10,35,15,5,5,5,15,5,10,10,5,20,10,0,20,20,5,1,Tuesday
23,2022-02-01 14:45:00,30,25,55,0,40,40,25,40,20,0,35,15,5,5,5,15,5,15,10,5,15,15,0,20,20,5,1,Tuesday
24,2022-02-01 15:00:00,30,25,50,0,40,40,30,40,10,0,35,25,5,5,5,15,10,20,10,10,15,15,0,0,0,5,1,Tuesday
25,2022-02-01 15:15:00,25,25,40,0,35,45,30,30,10,0,25,25,5,5,5,10,10,20,20,10,10,15,0,0,0,5,1,Tuesday
26,2022-02-01 15:30:00,25,25,45,0,35,40,30,30,35,10,25,25,5,5,5,15,10,15,20,10,10,10,5,5,5,5,1,Tuesday
27,2022-02-01 15:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tuesday
28,2022-02-01 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tuesday
29,2022-02-01 16:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tuesday
30,2022-02-01 16:30:00,25,20,55,0,30,40,15,20,10,20,30,15,5,5,5,15,15,15,10,5,20,10,5,5,5,0,1,Tuesday
31,2022-02-01 16:45:00,30,20,50,0,30,40,20,25,5,25,30,15,5,5,5,15,10,15,10,5,20,15,5,5,5,0,1,Tuesday
32,2022-02-01 17:00:00,30,20,55,0,30,40,30,25,10,25,35,15,5,5,5,15,5,15,10,5,10,10,5,5,5,0,1,Tuesday
33,2022-02-01 17:15:00,25,20,50,0,30,50,35,25,20,30,25,15,5,10,5,10,5,15,10,5,10,10,5,5,5,0,1,Tuesday
34,2022-02-01 17:30:00,25,15,55,0,25,55,20,25,25,35,30,15,5,5,5,10,5,15,5,5,10,10,5,5,5,0,1,Tuesday
35,2022-02-01 17:45:00,20,15,60,0,25,45,30,25,15,35,30,15,5,5,5,5,5,15,10,5,20,15,5,5,5,0,1,Tuesday
36,2022-02-01 18:00:00,20,20,60,0,30,30,20,25,20,50,25,15,5,5,5,5,5,10,5,5,20,15,5,5,5,0,1,Tuesday
37,2022-02-01 18:15:00,25,20,60,0,30,35,25,20,15,40,20,10,5,5,5,5,5,10,5,5,15,15,5,5,5,0,1,Tuesday
38,2022-02-01 18:30:00,25,25,60,0,25,40,30,25,15,35,15,10,5,5,5,5,5,10,5,5,10,10,5,5,5,0,1,Tuesday
39,2022-02-01 18:45:00,25,25,60,0,20,35,20,20,15,35,15,5,5,5,5,5,5,10,5,5,10,10,5,5,0,0,1,Tuesday
40,2022-02-01 19:00:00,25,20,60,0,30,30,25,25,10,30,15,5,5,5,5,5,5,10,5,5,10,15,5,5,0,0,1,Tuesday
41,2022-02-01 19:15:00,25,20,60,0,20,30,30,25,10,25,15,5,5,5,5,5,5,10,5,5,10,15,5,5,0,0,1,Tuesday
42,2022-02-01 19:30:00,25,25,60,0,20,30,15,20,5,35,15,5,5,5,5,5,5,5,5,5,5,15,5,5,0,0,1,Tuesday
43,2022-02-01 19:45:00,25,25,65,0,15,30,25,20,5,40,15,5,5,5,5,5,5,5,5,5,5,15,5,5,0,0,1,Tuesday
44,2022-02-01 20:00:00,25,25,0,0,5,30,15,20,5,30,15,5,5,5,5,5,5,5,5,5,5,10,5,5,0,0,1,Tuesday
45,2022-02-01 20:15:00,20,40,0,0,20,25,15,15,5,40,15,5,5,5,5,5,5,5,5,5,5,10,5,5,0,0,1,Tuesday
46,2022-02-01 20:30:00,20,0,0,0,0,0,0,0,5,0,15,5,5,5,5,5,5,5,5,5,5,5,0,5,0,0,1,Tuesday
47,2022-02-01 20:45:00,10,0,0,0,0,0,0,0,5,0,15,5,5,5,5,5,5,5,5,5,5,5,0,5,0,0,1,Tuesday
48,2022-02-02 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Wednesday
49,2022-02-02 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Wednesday
50,2022-02-02 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Wednesday
51,2022-02-02 09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Wednesday
52,2022-02-02 10:00:00,25,25,30,0,15,5,0,0,15,5,15,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,2,Wednesday
53,2022-02-02 10:15:00,25,35,50,0,25,15,0,0,20,15,15,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,2,Wednesday
54,2022-02-02 10:30:00,20,40,45,0,30,30,0,0,15,5,15,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,2,Wednesday
55,2022-02-02 10:45:00,20,35,40,0,30,30,0,0,10,5,20,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,2,Wednesday
56,2022-02-02 11:00:00,25,35,40,0,25,35,30,0,15,5,20,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,2,Wednesday
57,2022-02-02 11:15:00,25,35,40,0,30,30,15,0,10,0,15,10,5,5,5,5,5,5,5,5,5,5,0,0,0,0,2,Wednesday
58,2022-02-02 11:30:00,20,35,40,0,30,25,25,0,10,0,15,15,5,5,5,5,5,5,5,5,5,5,0,0,0,0,2,Wednesday
59,2022-02-02 11:45:00,20,20,40,0,30,20,15,5,10,0,15,15,5,5,5,10,5,5,5,5,5,5,0,0,5,0,2,Wednesday
60,2022-02-02 12:00:00,25,15,35,0,25,25,20,25,15,5,15,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,Wednesday
61,2022-02-02 12:15:00,25,15,40,0,30,30,30,20,10,5,20,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,Wednesday
62,2022-02-02 12:30:00,30,15,40,0,25,30,15,20,10,5,25,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,Wednesday
63,2022-02-02 12:45:00,30,15,35,0,25,25,20,20,5,5,25,15,5,5,5,5,5,5,5,5,5,5,5,5,0,5,2,Wednesday
