,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,スチーマーライン(フロント),スチーマーライン(ロスト),スチーマーライン(ハーバー),レールウェイ(フロント),スチーマーライン(ポート),ビッグシティ・ヴィークル,曜日_数値,曜日
16,2021-01-01 13:00:00,0,0,0,0,0,0,25,30,10,25,25,15,5,10,5,25,10,20,15,10,5,15,5,10,15,15,4,Friday
17,2021-01-01 13:15:00,0,0,0,0,0,0,45,40,10,25,30,15,5,10,5,25,15,15,15,10,5,15,5,15,15,15,4,Friday
18,2021-01-01 13:30:00,0,0,0,0,0,0,30,30,10,0,30,15,5,15,5,20,15,10,15,10,5,0,5,10,15,5,4,Friday
19,2021-01-01 13:45:00,0,0,0,0,0,0,0,30,10,0,20,15,5,15,5,20,15,15,15,10,0,0,5,10,15,10,4,Friday
20,2021-01-01 14:00:00,0,0,0,0,0,0,0,0,10,0,20,15,5,15,5,20,20,15,20,10,0,0,5,15,15,5,4,Friday
21,2021-01-01 14:15:00,0,0,0,0,0,0,0,0,5,0,30,15,5,15,5,20,20,15,15,10,0,0,5,15,15,15,4,Friday
22,2021-01-01 14:30:00,0,0,0,0,0,0,0,0,5,0,20,15,5,15,5,20,15,25,15,10,0,0,0,15,15,15,4,Friday
23,2021-01-01 14:45:00,0,0,0,0,0,0,0,0,10,35,20,20,5,15,5,20,20,15,15,10,5,5,5,20,20,10,4,Friday
24,2021-01-01 15:00:00,0,0,0,0,0,0,0,0,5,35,20,20,5,15,5,20,20,15,15,5,15,5,5,15,15,10,4,Friday
25,2021-01-01 15:15:00,0,0,0,0,0,0,0,0,5,35,20,15,5,15,5,25,20,20,10,10,15,5,5,15,15,5,4,Friday
26,2021-01-01 15:30:00,0,0,0,0,0,0,0,0,5,45,20,15,5,15,5,25,20,25,10,10,20,25,10,15,15,5,4,Friday
27,2021-01-01 15:45:00,0,0,0,0,0,0,0,0,5,45,20,15,15,15,5,25,15,25,10,10,20,25,10,15,20,10,4,Friday
28,2021-01-01 16:00:00,0,0,0,0,0,0,0,0,5,40,20,15,15,15,5,20,15,20,15,10,20,15,10,15,15,15,4,Friday
29,2021-01-01 16:15:00,0,0,0,0,0,0,0,0,5,45,20,15,15,15,5,20,20,15,20,10,20,20,15,20,15,15,4,Friday
30,2021-01-01 16:30:00,0,0,0,0,0,0,0,0,5,45,20,20,10,15,5,25,20,20,15,10,10,20,10,15,20,10,4,Friday
31,2021-01-01 16:45:00,0,0,0,0,0,0,0,0,10,40,20,20,5,15,5,25,20,20,15,10,10,15,10,15,15,10,4,Friday
32,2021-01-01 17:00:00,0,0,0,0,0,0,20,40,5,40,20,20,10,15,5,20,10,20,15,10,10,15,10,20,15,0,4,Friday
33,2021-01-01 17:15:00,0,0,0,0,0,0,45,30,5,45,20,20,5,15,5,20,15,15,15,10,10,15,10,20,15,0,4,Friday
34,2021-01-01 17:30:00,0,0,0,0,0,0,55,35,5,45,20,5,5,10,5,0,20,20,15,10,10,15,10,15,20,0,4,Friday
35,2021-01-01 17:45:00,0,0,0,0,0,0,45,35,5,45,20,5,5,10,5,0,20,20,15,10,10,15,5,15,15,0,4,Friday
36,2021-01-01 18:00:00,0,0,0,0,0,0,30,30,5,40,20,10,5,10,5,0,20,20,15,5,10,20,5,15,20,0,4,Friday
37,2021-01-01 18:15:00,0,0,0,0,0,0,45,40,5,25,20,10,5,10,5,25,20,25,15,5,10,20,5,15,15,0,4,Friday
38,2021-01-01 18:30:00,0,0,10,0,0,0,40,40,5,25,20,10,5,5,5,25,15,15,15,5,10,10,5,15,15,0,4,Friday
39,2021-01-01 18:45:00,0,0,15,0,0,0,50,30,5,35,20,10,5,5,5,30,5,15,15,5,10,10,5,15,20,0,4,Friday
40,2021-01-01 19:00:00,0,50,30,0,25,20,45,30,5,30,20,10,5,5,5,30,10,15,15,5,0,10,5,10,15,0,4,Friday
41,2021-01-01 19:15:00,0,50,30,0,30,25,25,35,5,30,20,10,5,5,5,25,10,15,10,5,0,10,5,15,20,0,4,Friday
42,2021-01-01 19:30:00,0,50,20,0,35,30,0,0,5,25,20,5,5,5,5,15,10,10,10,5,0,10,5,10,15,0,4,Friday
43,2021-01-01 19:45:00,0,45,20,0,30,30,0,0,5,30,20,5,5,5,5,15,10,5,10,5,0,5,5,5,15,0,4,Friday
44,2021-01-01 20:00:00,0,45,20,0,30,25,0,0,5,25,10,5,5,5,5,5,10,5,5,5,0,5,5,5,15,0,4,Friday
45,2021-01-01 20:15:00,0,50,20,0,20,25,0,0,5,25,10,5,5,5,5,10,10,5,5,5,0,5,5,5,15,0,4,Friday
46,2021-01-01 20:30:00,0,45,15,0,20,25,0,0,5,25,10,5,5,5,5,10,5,5,5,5,0,5,0,5,10,0,4,Friday
47,2021-01-01 20:45:00,0,0,15,0,15,15,0,0,5,0,10,5,5,5,5,5,5,5,5,5,0,5,0,5,10,0,4,Friday
48,2021-01-02 09:00:00,0,80,0,35,15,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,Saturday
49,2021-01-02 09:15:00,0,100,30,45,35,5,0,0,5,0,10,0,0,0,5,0,0,5,0,0,0,0,0,5,5,0,5,Saturday
50,2021-01-02 09:30:00,0,100,45,45,45,25,0,0,5,0,10,0,0,0,5,0,0,5,0,0,0,0,0,5,5,0,5,Saturday
51,2021-01-02 09:45:00,0,90,50,50,45,40,0,0,10,30,20,0,0,0,5,15,0,5,0,0,0,5,10,10,5,0,5,Saturday
52,2021-01-02 10:00:00,0,0,50,0,45,50,5,10,20,30,45,10,0,0,5,20,0,5,0,0,0,5,10,15,5,0,5,Saturday
53,2021-01-02 10:15:00,0,0,35,0,0,45,20,30,20,30,30,15,0,10,5,25,10,5,5,0,0,5,10,15,5,0,5,Saturday
54,2021-01-02 10:30:00,0,0,35,0,0,50,40,30,25,30,30,20,0,15,5,20,15,5,10,5,0,5,10,15,5,0,5,Saturday
55,2021-01-02 10:45:00,0,0,40,0,0,50,30,30,25,0,30,20,0,15,5,15,10,15,10,5,0,5,10,10,5,0,5,Saturday
56,2021-01-02 11:00:00,0,0,45,0,0,50,40,45,20,0,35,20,5,15,5,20,5,10,5,10,0,0,0,15,10,0,5,Saturday
57,2021-01-02 11:15:00,0,0,50,0,0,45,30,40,25,0,35,20,5,15,5,25,10,10,10,10,0,0,0,15,5,0,5,Saturday
58,2021-01-02 11:30:00,0,0,40,0,0,45,45,40,20,0,35,15,5,15,5,25,20,15,10,10,0,0,0,15,5,0,5,Saturday
59,2021-01-02 11:45:00,0,0,35,0,0,35,30,40,15,20,40,15,5,10,5,25,20,15,10,10,5,5,5,10,10,0,5,Saturday
60,2021-01-02 12:00:00,0,0,0,0,0,0,45,30,15,30,35,15,5,10,5,25,20,15,10,10,5,5,5,10,10,0,5,Saturday
61,2021-01-02 12:15:00,0,0,0,0,0,0,35,35,15,20,35,15,5,10,5,25,15,20,10,10,5,5,5,5,10,5,5,Saturday
62,2021-01-02 12:30:00,0,0,0,0,0,0,50,30,15,35,35,15,5,20,5,25,20,15,10,10,5,5,5,10,10,5,5,Saturday
63,2021-01-02 12:45:00,0,0,0,0,0,0,35,30,15,45,30,15,5,20,5,25,20,20,10,10,5,10,5,10,10,5,5,Saturday
64,2021-01-02 13:00:00,0,0,0,0,0,0,20,30,15,30,30,15,5,15,5,25,20,20,10,10,10,10,5,10,10,5,5,Saturday
65,2021-01-02 13:15:00,0,0,0,0,0,0,40,30,15,35,20,15,5,15,5,20,20,15,15,5,10,10,5,15,10,5,5,Saturday
66,2021-01-02 13:30:00,0,0,0,0,0,0,35,25,10,35,20,15,5,15,5,20,20,20,15,10,10,15,5,15,15,5,5,Saturday
67,2021-01-02 13:45:00,0,0,0,0,0,0,35,25,10,0,20,15,5,10,5,30,15,20,15,10,0,0,5,15,15,5,5,Saturday
68,2021-01-02 14:00:00,0,0,0,0,0,0,0,0,10,0,25,15,5,10,5,25,15,25,15,10,0,0,0,15,15,5,5,Saturday
69,2021-01-02 14:15:00,0,0,0,0,0,0,0,0,10,0,25,15,10,10,5,25,20,20,15,10,0,0,0,15,15,10,5,Saturday
70,2021-01-02 14:30:00,0,0,0,0,0,0,0,0,5,0,30,15,10,10,5,25,25,15,20,10,0,0,0,20,15,5,5,Saturday
71,2021-01-02 14:45:00,0,0,0,0,0,0,0,0,10,45,25,15,10,20,5,30,20,20,15,10,10,5,5,20,20,5,5,Saturday
72,2021-01-02 15:00:00,0,0,0,0,0,0,0,0,10,40,30,15,5,20,5,30,15,20,15,15,10,5,5,15,15,5,5,Saturday
73,2021-01-02 15:15:00,0,0,0,0,0,0,0,0,5,45,30,15,5,20,5,25,15,25,15,10,10,20,5,10,15,20,5,Saturday
74,2021-01-02 15:30:00,0,0,0,0,0,0,0,0,10,45,35,10,5,15,5,25,15,25,15,10,10,25,5,15,15,20,5,Saturday
75,2021-01-02 15:45:00,0,0,0,0,0,0,0,0,10,45,30,10,5,15,5,30,20,15,15,10,10,15,10,15,15,20,5,Saturday
76,2021-01-02 16:00:00,0,0,0,0,0,0,0,0,10,45,25,15,5,15,5,30,20,20,15,10,20,20,10,20,15,5,5,Saturday
77,2021-01-02 16:15:00,0,0,0,0,0,0,0,0,10,45,25,10,5,15,5,30,20,20,15,10,20,20,15,15,15,5,5,Saturday
78,2021-01-02 16:30:00,0,0,0,0,0,0,0,0,5,35,25,10,5,15,5,30,20,25,15,10,20,15,15,15,15,5,5,Saturday
79,2021-01-02 16:45:00,0,0,0,0,0,0,0,0,5,45,25,15,5,15,5,25,15,25,15,10,5,15,10,15,15,5,5,Saturday
80,2021-01-02 17:00:00,0,0,0,0,0,0,20,25,5,40,25,10,5,15,5,25,15,30,15,10,5,15,10,20,15,0,5,Saturday
81,2021-01-02 17:15:00,0,0,0,0,0,0,40,40,5,45,25,10,5,15,5,25,20,20,15,10,5,15,10,20,15,0,5,Saturday
82,2021-01-02 17:30:00,0,0,0,0,0,0,25,40,10,45,25,10,5,15,5,25,10,15,20,10,5,15,10,15,15,0,5,Saturday
83,2021-01-02 17:45:00,0,0,0,0,0,0,50,40,5,45,25,10,5,15,5,25,20,25,15,10,5,15,10,15,20,0,5,Saturday
84,2021-01-02 18:00:00,0,0,0,0,0,0,40,30,5,45,20,10,5,15,5,25,15,15,15,5,5,15,10,15,20,0,5,Saturday
85,2021-01-02 18:15:00,0,0,0,0,0,0,50,30,5,45,20,10,5,5,5,20,15,15,15,5,5,15,10,10,20,0,5,Saturday
86,2021-01-02 18:30:00,0,0,0,0,0,0,30,30,5,40,15,5,5,10,5,15,10,15,10,5,5,15,5,10,20,0,5,Saturday
87,2021-01-02 18:45:00,0,0,10,0,0,0,50,30,5,40,10,5,5,10,5,15,10,15,15,5,5,15,5,10,20,0,5,Saturday
88,2021-01-02 19:00:00,0,40,20,30,25,0,35,25,0,40,15,5,5,10,5,15,10,5,10,5,0,15,5,15,20,0,5,Saturday
89,2021-01-02 19:15:00,0,50,20,30,20,25,35,25,0,30,15,5,5,10,5,15,5,10,10,5,0,15,5,15,20,0,5,Saturday
90,2021-01-02 19:30:00,0,60,20,40,30,25,0,0,0,40,15,5,5,5,5,15,5,15,10,5,0,15,5,10,20,0,5,Saturday
91,2021-01-02 19:45:00,0,60,20,40,30,30,0,0,0,40,15,5,5,5,5,15,5,15,10,5,0,15,5,10,10,0,5,Saturday
92,2021-01-02 20:00:00,0,50,15,40,30,0,0,0,0,35,15,5,5,5,5,20,5,5,10,5,0,15,5,5,15,0,5,Saturday
93,2021-01-02 20:15:00,0,50,20,35,30,0,0,0,0,0,15,5,5,5,5,20,5,5,10,5,0,10,5,5,10,0,5,Saturday
94,2021-01-02 20:30:00,0,50,20,35,20,0,0,0,0,0,15,5,5,5,5,15,5,5,5,5,0,10,0,5,10,0,5,Saturday
95,2021-01-02 20:45:00,0,0,0,35,10,0,0,0,0,0,15,5,5,5,5,5,5,5,5,5,0,10,0,5,10,0,5,Saturday
96,2021-01-03 09:00:00,0,80,0,40,15,5,0,0,5,0,10,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,6,Sunday
97,2021-01-03 09:15:00,0,100,25,45,30,5,0,0,15,0,20,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,6,Sunday
98,2021-01-03 09:30:00,0,80,30,45,45,30,0,0,15,0,25,0,0,0,5,5,0,5,0,0,0,0,0,5,5,0,6,Sunday
99,2021-01-03 09:45:00,0,60,40,50,50,50,0,0,25,10,45,0,0,0,5,15,0,5,0,0,0,5,5,5,5,0,6,Sunday
100,2021-01-03 10:00:00,0,0,50,50,50,45,0,15,20,40,50,10,0,0,5,25,0,5,0,0,0,5,5,5,5,0,6,Sunday
101,2021-01-03 10:15:00,0,0,50,0,0,40,20,15,25,30,35,10,0,5,5,20,0,5,5,5,0,5,5,10,5,0,6,Sunday
102,2021-01-03 10:30:00,0,0,40,0,0,50,40,30,15,15,35,10,0,15,5,15,15,10,10,10,0,5,5,10,5,0,6,Sunday
103,2021-01-03 10:45:00,0,0,45,0,0,50,20,30,15,0,30,10,0,15,5,15,15,10,10,10,0,5,5,15,5,0,6,Sunday
104,2021-01-03 11:00:00,0,0,50,0,0,45,45,45,25,0,25,15,0,10,5,15,20,15,10,10,0,0,0,15,5,0,6,Sunday
105,2021-01-03 11:15:00,0,0,50,0,0,45,30,40,30,0,25,15,0,5,5,20,15,20,10,10,0,0,0,15,5,0,6,Sunday
106,2021-01-03 11:30:00,0,0,45,0,0,45,50,40,25,0,25,20,0,5,5,25,15,15,10,10,0,0,0,10,10,0,6,Sunday
107,2021-01-03 11:45:00,0,0,35,0,0,0,30,25,20,10,25,20,5,5,5,15,15,20,10,5,5,5,5,10,15,0,6,Sunday
108,2021-01-03 12:00:00,0,0,0,0,0,0,10,25,10,15,35,15,5,15,5,20,15,20,10,10,5,5,5,5,15,5,6,Sunday
109,2021-01-03 12:15:00,0,0,0,0,0,0,30,30,15,20,30,15,5,15,10,25,5,20,10,10,5,5,5,5,15,5,6,Sunday
110,2021-01-03 12:30:00,0,0,0,0,0,0,50,30,15,30,30,15,5,15,10,30,10,15,10,10,5,5,5,10,15,5,6,Sunday
111,2021-01-03 12:45:00,0,0,0,0,0,0,40,30,10,30,30,15,5,15,5,25,20,15,10,10,5,5,5,10,10,5,6,Sunday
112,2021-01-03 13:00:00,0,0,0,0,0,0,40,30,10,40,30,15,5,15,15,25,20,15,10,15,5,5,5,10,15,5,6,Sunday
113,2021-01-03 13:15:00,0,0,0,0,0,0,45,25,15,35,30,15,5,15,5,25,20,25,15,10,5,5,5,10,10,5,6,Sunday
114,2021-01-03 13:30:00,0,0,0,0,0,0,35,25,15,0,25,15,5,15,15,25,20,20,15,10,5,5,5,15,15,10,6,Sunday
115,2021-01-03 13:45:00,0,0,0,0,0,0,35,35,15,0,30,15,5,15,10,25,20,20,15,10,0,0,5,10,15,10,6,Sunday
116,2021-01-03 14:00:00,0,0,0,0,0,0,35,0,10,0,30,15,5,15,15,25,20,20,15,10,0,0,0,10,15,5,6,Sunday
117,2021-01-03 14:15:00,0,0,0,0,0,0,0,0,15,0,30,15,5,20,5,20,20,20,15,10,0,0,0,10,15,5,6,Sunday
118,2021-01-03 14:30:00,0,0,0,0,0,0,0,0,15,0,30,15,10,20,5,20,20,25,10,10,0,0,0,15,15,5,6,Sunday
119,2021-01-03 14:45:00,0,0,0,0,0,0,0,0,20,20,30,15,10,15,5,20,10,25,10,10,5,5,5,15,15,5,6,Sunday
120,2021-01-03 15:00:00,0,0,0,0,0,0,0,0,15,35,30,15,10,15,5,30,10,25,15,10,5,5,5,15,15,5,6,Sunday
121,2021-01-03 15:15:00,0,0,0,0,0,0,0,0,15,35,25,15,10,15,5,25,15,25,15,10,5,5,5,15,15,15,6,Sunday
122,2021-01-03 15:30:00,0,0,0,0,0,0,0,0,5,40,25,15,5,15,15,35,15,25,20,10,5,5,5,15,15,10,6,Sunday
123,2021-01-03 15:45:00,0,0,0,0,0,0,0,0,5,30,25,15,5,15,10,35,15,20,20,10,5,5,5,15,15,10,6,Sunday
124,2021-01-03 16:00:00,0,0,0,0,0,0,0,0,5,40,25,15,5,15,15,20,20,20,20,15,5,10,5,15,20,10,6,Sunday
125,2021-01-03 16:15:00,0,0,0,0,0,0,0,0,5,40,25,5,5,15,5,25,20,20,20,10,5,15,5,15,15,5,6,Sunday
126,2021-01-03 16:30:00,0,0,0,0,0,0,0,0,10,45,25,15,5,15,5,30,20,25,20,10,10,20,5,15,15,5,6,Sunday
127,2021-01-03 16:45:00,0,0,0,0,0,0,0,0,10,45,25,20,5,10,5,30,20,25,15,15,5,20,5,15,15,0,6,Sunday
128,2021-01-03 17:00:00,0,0,0,0,0,0,0,0,10,35,25,20,5,15,5,25,20,25,15,10,5,10,5,15,20,0,6,Sunday
129,2021-01-03 17:15:00,0,0,0,0,0,0,40,15,5,35,25,20,5,10,5,25,10,25,15,10,5,10,5,20,15,0,6,Sunday
130,2021-01-03 17:30:00,0,0,0,0,0,0,25,25,5,35,25,5,5,15,5,30,15,15,15,10,5,5,5,20,15,0,6,Sunday
131,2021-01-03 17:45:00,0,0,0,0,0,0,45,25,5,40,25,5,5,10,5,25,15,15,15,10,5,5,5,10,15,0,6,Sunday
132,2021-01-03 18:00:00,0,0,0,0,0,0,30,25,5,35,15,5,5,10,5,20,15,20,15,5,5,10,5,15,15,0,6,Sunday
133,2021-01-03 18:15:00,0,0,0,0,0,0,50,25,5,40,15,5,5,10,5,20,10,20,15,5,5,10,5,10,15,0,6,Sunday
134,2021-01-03 18:30:00,0,0,0,0,0,0,40,40,5,35,10,5,5,10,5,20,5,15,15,5,5,10,5,15,20,0,6,Sunday
135,2021-01-03 18:45:00,0,0,10,0,0,0,55,30,5,35,10,5,5,10,5,15,5,15,15,5,5,10,5,15,20,0,6,Sunday
136,2021-01-03 19:00:00,0,0,30,0,20,0,40,30,5,40,10,5,5,5,5,20,5,15,10,5,0,10,5,10,15,0,6,Sunday
137,2021-01-03 19:15:00,0,50,40,0,35,40,25,20,5,40,10,5,5,5,5,20,10,15,5,5,0,10,5,10,15,0,6,Sunday
138,2021-01-03 19:30:00,0,55,40,0,40,40,20,15,5,30,10,5,5,5,5,15,15,10,5,5,0,10,5,10,15,0,6,Sunday
139,2021-01-03 19:45:00,0,55,35,0,40,40,20,0,5,25,10,5,5,5,5,15,15,10,5,5,0,10,5,5,15,0,6,Sunday
140,2021-01-03 20:00:00,0,55,30,0,30,35,0,0,5,20,10,5,5,5,5,15,5,5,5,5,0,10,5,5,15,0,6,Sunday
141,2021-01-03 20:15:00,0,45,30,25,25,35,0,0,5,20,10,5,5,5,5,15,5,5,5,5,0,5,5,5,10,0,6,Sunday
142,2021-01-03 20:30:00,0,40,25,0,20,0,0,0,5,0,10,5,5,5,5,10,5,5,5,5,0,5,0,5,10,0,6,Sunday
143,2021-01-03 20:45:00,0,35,0,0,15,0,0,0,5,0,10,5,5,5,5,10,5,5,5,5,0,5,0,5,10,0,6,Sunday
144,2021-01-04 09:00:00,0,85,25,35,20,0,0,0,5,0,10,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,0,Monday
145,2021-01-04 09:15:00,0,90,35,45,20,5,0,0,5,0,10,0,0,0,5,5,0,5,0,0,0,0,0,5,5,0,0,Monday
146,2021-01-04 09:30:00,0,85,50,55,40,30,0,0,5,0,10,0,0,0,5,5,0,5,0,0,0,0,0,5,5,0,0,Monday
147,2021-01-04 09:45:00,0,80,40,60,50,50,0,0,20,40,15,0,5,0,5,15,0,10,0,0,0,5,5,10,5,0,0,Monday
148,2021-01-04 10:00:00,0,0,50,0,55,55,0,15,20,45,30,10,5,0,5,30,0,10,0,0,0,5,5,10,5,0,0,Monday
149,2021-01-04 10:15:00,0,0,45,0,0,50,15,30,20,25,35,15,5,10,5,30,0,10,10,0,0,5,5,10,5,0,0,Monday
150,2021-01-04 10:30:00,0,0,45,0,0,55,35,30,20,20,40,25,5,15,5,25,20,15,10,0,0,5,5,10,5,0,0,Monday
151,2021-01-04 10:45:00,0,0,45,0,0,55,20,35,15,15,40,25,5,15,5,20,25,20,15,10,0,5,5,10,10,0,0,Monday
152,2021-01-04 11:00:00,0,0,55,0,0,55,45,45,25,0,30,25,5,15,5,30,20,20,15,10,0,0,5,10,10,0,0,Monday
153,2021-01-04 11:15:00,0,0,50,0,0,50,30,40,20,0,30,25,5,15,5,25,20,20,15,10,0,0,0,15,10,0,0,Monday
154,2021-01-04 11:30:00,0,0,40,0,0,45,45,25,20,0,25,25,5,15,5,25,15,20,20,10,0,0,0,10,10,0,0,Monday
155,2021-01-04 11:45:00,0,0,40,0,0,0,35,30,15,10,30,20,5,15,5,25,20,20,15,10,5,5,5,10,5,0,0,Monday
156,2021-01-04 12:00:00,0,0,0,0,0,0,20,25,15,15,30,15,5,10,5,25,15,20,20,10,5,5,5,10,15,0,0,Monday
157,2021-01-04 12:15:00,0,0,0,0,0,0,35,30,15,20,30,15,5,10,5,20,15,20,15,5,5,5,5,10,15,5,0,Monday
158,2021-01-04 12:30:00,0,0,0,0,0,0,20,30,15,30,30,20,5,10,5,25,15,20,20,10,5,5,5,15,10,5,0,Monday
159,2021-01-04 12:45:00,0,0,0,0,0,0,40,30,15,35,25,20,5,15,5,30,15,20,15,10,5,5,5,15,10,5,0,Monday
160,2021-01-04 13:00:00,0,0,0,0,0,0,20,30,15,35,25,20,5,15,5,30,20,20,10,10,10,5,5,15,10,5,0,Monday
161,2021-01-04 13:15:00,0,0,0,0,0,0,40,30,15,35,30,20,5,15,5,30,20,25,15,10,10,5,5,15,10,5,0,Monday
162,2021-01-04 13:30:00,0,0,0,0,0,0,30,25,15,0,30,20,5,15,5,30,20,15,15,10,10,15,5,15,10,5,0,Monday
163,2021-01-04 13:45:00,0,0,0,0,0,0,0,25,10,0,30,20,5,15,5,30,20,15,15,10,0,0,5,15,10,5,0,Monday
164,2021-01-04 14:00:00,0,0,0,0,0,0,0,0,15,0,30,20,5,20,10,35,20,25,15,10,0,0,0,15,15,20,0,Monday
165,2021-01-04 14:15:00,0,0,0,0,0,0,0,0,15,0,35,25,10,20,15,35,25,30,20,10,0,0,0,15,15,10,0,Monday
166,2021-01-04 14:30:00,0,0,0,0,0,0,0,0,20,0,35,25,20,15,15,25,20,20,15,10,0,0,0,15,20,10,0,Monday
167,2021-01-04 14:45:00,0,0,0,0,0,0,0,0,25,40,35,25,20,15,15,35,25,30,20,10,5,5,5,20,15,10,0,Monday
168,2021-01-04 15:00:00,0,0,0,0,0,0,0,0,25,40,35,25,10,15,15,35,25,30,20,15,5,5,5,20,15,10,0,Monday
169,2021-01-04 15:15:00,0,0,0,0,0,0,0,0,15,40,30,15,10,15,10,35,25,25,20,10,20,5,10,10,15,20,0,Monday
170,2021-01-04 15:30:00,0,0,0,0,0,0,0,0,15,40,30,15,10,15,5,35,20,25,20,10,20,15,20,10,15,10,0,Monday
171,2021-01-04 15:45:00,0,0,0,0,0,0,0,0,10,40,25,20,5,15,5,35,20,20,20,10,20,15,10,10,15,10,0,Monday
172,2021-01-04 16:00:00,0,0,0,0,0,0,0,0,10,40,25,20,5,15,5,25,20,25,20,10,10,15,5,10,20,0,0,Monday
173,2021-01-04 16:15:00,0,0,0,0,0,0,0,0,20,40,30,35,5,15,5,25,15,30,20,10,10,15,5,10,15,0,0,Monday
174,2021-01-04 16:30:00,0,0,0,0,0,0,0,0,10,40,30,35,5,15,5,30,15,30,20,10,5,15,5,10,15,0,0,Monday
175,2021-01-04 16:45:00,0,0,0,0,0,0,0,0,10,45,30,30,5,15,5,30,15,20,20,10,5,15,5,10,15,10,0,Monday
176,2021-01-04 17:00:00,0,0,0,0,0,0,0,30,5,50,30,30,5,15,5,30,25,20,20,10,5,10,5,15,15,0,0,Monday
177,2021-01-04 17:15:00,0,0,0,0,0,0,0,30,5,50,30,10,5,15,5,35,25,20,20,10,5,10,5,15,15,0,0,Monday
178,2021-01-04 17:30:00,0,0,0,0,0,0,25,40,5,40,15,10,5,15,5,30,15,25,20,10,5,10,5,20,15,0,0,Monday
179,2021-01-04 17:45:00,0,0,0,0,0,0,40,40,5,45,10,5,5,15,5,25,15,15,15,10,5,10,5,20,15,0,0,Monday
180,2021-01-04 18:00:00,0,0,0,0,0,0,30,25,0,45,10,10,5,15,5,25,15,20,15,10,5,10,5,15,15,0,0,Monday
