,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,スチーマーライン(フロント),スチーマーライン(ロスト),スチーマーライン(ハーバー),レールウェイ(フロント),スチーマーライン(ポート),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2021-01-01 09:00:00,0,80,15,40,10,5,0,0,5,0,10,0,0,0,5,5,0,5,0,0,0,0,0,5,5,0,4,Friday
1,2021-01-01 09:15:00,0,100,20,45,20,5,0,0,5,0,10,0,0,0,5,5,0,5,0,0,0,0,0,5,5,0,4,Friday
2,2021-01-01 09:30:00,0,80,25,40,40,15,0,0,5,0,10,0,5,0,5,5,0,5,0,0,0,0,0,5,5,0,4,Friday
3,2021-01-01 09:45:00,0,0,45,40,40,30,0,0,5,20,10,0,5,0,5,15,0,5,0,0,0,5,5,10,5,0,4,Friday
4,2021-01-01 10:00:00,0,0,45,45,45,40,30,10,15,45,15,10,5,5,5,15,0,10,5,5,0,5,5,20,5,0,4,Friday
5,2021-01-01 10:15:00,0,0,45,0,0,40,20,15,15,45,35,15,5,10,5,15,10,5,10,5,0,5,10,10,5,0,4,Friday
6,2021-01-01 10:30:00,0,0,35,0,0,40,40,30,15,25,35,15,5,10,5,15,15,5,10,10,0,5,10,15,5,0,4,Friday
7,2021-01-01 10:45:00,0,0,40,0,0,40,35,35,15,25,25,15,5,10,5,15,15,10,5,5,0,5,10,15,5,0,4,Friday
8,2021-01-01 11:00:00,0,0,45,0,0,45,40,40,20,0,25,15,5,10,5,15,15,10,5,5,0,0,0,15,5,0,4,Friday
9,2021-01-01 11:15:00,0,0,40,0,0,50,35,30,25,0,25,15,5,10,5,20,10,10,5,5,0,0,0,20,5,0,4,Friday
10,2021-01-01 11:30:00,0,0,25,0,0,45,45,25,20,0,30,20,5,10,5,20,10,10,5,5,0,0,0,10,10,0,4,Friday
11,2021-01-01 11:45:00,0,0,25,0,0,40,35,25,10,25,20,20,5,10,5,20,15,15,5,5,5,5,5,10,10,0,4,Friday
12,2021-01-01 12:00:00,0,0,0,0,0,0,20,30,15,40,20,20,5,10,5,20,20,15,10,5,5,5,5,10,5,0,4,Friday
13,2021-01-01 12:15:00,0,0,0,0,0,0,40,30,15,45,25,20,5,10,5,20,20,15,10,5,5,5,5,10,10,10,4,Friday
14,2021-01-01 12:30:00,0,0,0,0,0,0,20,30,10,40,25,20,5,15,5,25,20,15,10,10,5,5,5,15,10,10,4,Friday
15,2021-01-01 12:45:00,0,0,0,0,0,0,40,30,10,40,25,20,5,10,5,25,20,15,15,10,5,10,5,15,15,5,4,Friday
