,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2021-08-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
1,2021-08-01 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2,2021-08-01 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
3,2021-08-01 09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
4,2021-08-01 10:00:00,5,20,0,15,5,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,6,1
5,2021-08-01 10:15:00,25,50,0,35,5,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,6,1
6,2021-08-01 10:30:00,25,55,5,50,20,0,0,0,10,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,6,1
7,2021-08-01 10:45:00,35,40,25,50,40,0,0,0,10,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,6,1
8,2021-08-01 11:00:00,35,25,25,40,35,15,0,5,10,0,0,5,0,5,5,10,5,5,5,5,0,0,0,0,0,0,6,1
9,2021-08-01 11:15:00,35,20,15,35,30,25,0,15,5,0,0,15,0,5,5,5,5,10,5,5,0,0,0,0,0,0,6,1
10,2021-08-01 11:30:00,35,15,5,25,20,25,0,10,5,0,0,10,0,5,5,5,5,10,5,5,0,0,0,0,0,0,6,1
11,2021-08-01 11:45:00,35,20,10,20,20,20,0,15,5,5,0,15,0,5,5,5,5,10,10,5,0,0,5,5,0,0,6,1
12,2021-08-01 12:00:00,35,20,10,20,15,15,15,15,10,5,10,15,5,5,5,5,5,10,10,5,0,0,5,5,5,5,6,1
13,2021-08-01 12:15:00,35,10,5,0,5,15,5,15,5,5,15,10,5,5,5,5,5,5,5,5,0,0,5,5,5,5,6,1
14,2021-08-01 12:30:00,35,10,10,0,5,10,10,15,5,5,15,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,6,1
