,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2024-02-01 09:00:00,35,0,10,5,0,5,0,15,5,5,15,5,0,0,5,5,5,5,0,0,0,0,5,5,0,0,3,0
1,2024-02-01 09:15:00,90,0,35,40,0,5,0,15,5,5,15,5,0,0,5,5,5,5,0,0,0,0,5,5,0,0,3,0
2,2024-02-01 09:30:00,125,0,100,100,0,5,0,15,5,5,15,5,0,5,5,5,5,5,5,5,0,0,5,5,0,0,3,0
3,2024-02-01 09:45:00,150,0,100,95,0,60,0,15,15,15,15,5,0,5,5,5,5,5,5,5,0,0,5,5,0,0,3,0
4,2024-02-01 10:00:00,160,0,120,100,0,100,0,30,30,35,20,15,5,5,5,15,5,5,5,5,0,0,25,5,0,5,3,0
5,2024-02-01 10:15:00,170,0,130,120,0,100,0,40,0,40,30,0,5,5,5,20,10,15,10,5,0,0,25,5,0,5,3,0
6,2024-02-01 10:30:00,180,0,130,130,0,110,0,50,0,40,40,0,5,15,5,25,10,20,15,5,0,0,25,5,0,5,3,0
7,2024-02-01 10:45:00,160,0,140,0,0,110,0,35,20,0,50,0,5,15,5,30,30,30,25,20,0,0,0,5,0,5,3,0
8,2024-02-01 11:00:00,160,0,160,0,0,120,0,50,50,0,50,15,5,20,5,40,25,30,25,20,0,0,0,0,0,5,3,0
9,2024-02-01 11:15:00,160,0,170,0,0,120,0,50,50,0,40,20,5,20,10,40,25,35,30,20,0,0,0,0,0,5,3,0
10,2024-02-01 11:30:00,160,0,150,0,0,120,0,55,65,0,30,30,5,25,10,40,35,40,25,25,0,0,0,0,0,5,3,0
11,2024-02-01 11:45:00,160,0,150,0,0,130,0,45,55,0,40,30,5,30,10,40,35,40,30,25,0,0,0,0,0,5,3,0
12,2024-02-01 12:00:00,150,0,140,0,0,130,0,45,50,15,40,40,5,30,20,40,35,40,25,25,0,0,10,5,5,5,3,0
13,2024-02-01 12:15:00,150,0,140,100,0,130,0,45,45,20,50,40,5,30,15,35,25,35,25,15,0,0,10,5,5,5,3,0
14,2024-02-01 12:30:00,150,0,135,130,0,120,0,45,40,20,40,40,5,30,15,35,20,35,25,20,0,0,10,10,5,5,3,0
15,2024-02-01 12:45:00,150,0,135,140,0,130,0,45,35,15,30,40,10,20,15,35,20,35,25,25,0,0,10,10,5,5,3,0
16,2024-02-01 13:00:00,140,0,145,140,0,130,0,50,45,20,30,30,10,20,15,35,30,35,25,25,0,0,5,15,5,5,3,0
17,2024-02-01 13:15:00,135,0,140,150,0,120,0,50,50,0,30,30,10,20,15,40,30,35,25,25,0,0,5,0,5,5,3,0
18,2024-02-01 13:30:00,135,0,140,145,0,120,0,55,50,0,40,30,10,30,10,40,20,35,25,15,0,0,0,0,0,5,3,0
19,2024-02-01 13:45:00,150,0,140,145,0,120,0,45,50,0,30,30,10,30,10,35,25,35,25,15,0,0,0,0,0,5,3,0
20,2024-02-01 14:00:00,145,0,140,140,0,120,0,45,45,0,30,30,5,30,10,35,25,30,25,20,0,0,0,0,0,5,3,0
21,2024-02-01 14:15:00,155,0,140,140,0,120,0,45,45,0,30,30,5,30,10,35,20,35,20,20,0,0,0,0,0,10,3,0
22,2024-02-01 14:30:00,170,0,145,150,0,120,0,60,40,20,30,30,5,25,10,35,20,35,20,20,0,0,20,5,5,20,3,0
23,2024-02-01 14:45:00,150,0,145,150,0,120,0,45,45,30,30,30,5,25,10,35,25,35,25,20,0,0,20,5,5,15,3,0
24,2024-02-01 15:00:00,160,0,140,150,0,120,0,50,45,30,50,30,5,25,10,40,25,35,25,20,0,0,20,5,10,15,3,0
25,2024-02-01 15:15:00,160,0,150,180,0,115,0,50,45,0,50,20,5,25,10,35,25,35,30,20,0,0,0,0,0,15,3,0
26,2024-02-01 15:30:00,170,0,150,170,0,115,0,50,45,0,40,20,5,25,10,35,25,35,30,20,0,0,0,0,0,5,3,0
27,2024-02-01 15:45:00,170,0,160,170,0,115,0,50,45,0,30,25,5,25,10,35,30,35,25,20,0,0,0,0,0,5,3,0
28,2024-02-01 16:00:00,175,0,170,0,0,120,0,50,50,0,30,25,5,25,10,35,25,35,25,20,0,0,5,5,5,0,3,0
29,2024-02-01 16:15:00,180,0,190,0,0,130,0,60,50,10,30,25,5,25,10,35,25,35,25,20,0,0,15,5,5,0,3,0
30,2024-02-01 16:30:00,170,0,180,0,0,140,0,60,45,30,30,25,5,30,10,35,20,35,25,20,0,0,15,5,5,0,3,0
31,2024-02-01 16:45:00,170,0,170,0,0,140,0,45,45,35,50,25,5,30,10,35,20,35,30,20,0,0,10,10,5,0,3,0
32,2024-02-01 17:00:00,170,0,170,0,0,140,0,50,45,0,50,25,5,25,10,35,20,35,30,20,0,0,10,15,5,0,3,0
33,2024-02-01 17:15:00,165,0,170,0,0,140,0,50,45,0,40,25,5,25,10,30,20,35,30,20,0,0,10,15,5,0,3,0
34,2024-02-01 17:30:00,165,0,160,0,0,150,0,50,50,0,30,25,5,25,10,30,20,35,30,20,0,0,10,20,5,0,3,0
35,2024-02-01 17:45:00,165,0,165,0,0,150,0,50,50,0,30,25,5,25,10,30,15,35,25,20,0,0,15,15,5,0,3,0
36,2024-02-01 18:00:00,160,0,170,0,0,130,0,50,45,0,30,20,5,25,10,30,15,35,30,20,0,0,20,15,5,0,3,0
37,2024-02-01 18:15:00,150,0,165,0,0,130,0,45,35,0,15,20,5,25,10,30,20,35,20,20,0,0,20,15,0,0,3,0
38,2024-02-01 18:30:00,140,0,160,0,0,110,0,45,40,0,20,20,5,25,10,30,20,35,25,20,0,0,5,15,0,0,3,0
39,2024-02-01 18:45:00,140,0,145,40,0,110,0,45,40,0,20,20,5,25,10,30,20,35,25,20,0,0,0,0,0,0,3,0
40,2024-02-01 19:00:00,130,0,0,90,0,80,0,50,25,0,20,20,5,20,10,20,20,35,25,20,0,0,0,0,0,0,3,0
41,2024-02-01 19:15:00,0,0,0,100,0,70,0,45,30,0,20,20,5,20,10,20,15,35,15,20,0,0,0,0,0,0,3,0
42,2024-02-01 19:30:00,0,0,0,0,0,65,0,35,35,0,20,20,5,20,10,20,15,25,20,15,0,0,0,0,0,0,3,0
43,2024-02-01 19:45:00,0,0,0,0,0,70,0,35,25,0,15,5,5,20,10,20,15,25,25,15,0,0,0,0,0,0,3,0
