,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2021-09-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,2021-09-01 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2,2021-09-01 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3,2021-09-01 09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4,2021-09-01 10:00:00,10,5,0,5,5,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0
5,2021-09-01 10:15:00,25,25,0,20,5,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0
6,2021-09-01 10:30:00,40,40,5,45,5,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,5,0,0,2,0
7,2021-09-01 10:45:00,40,35,35,45,35,0,0,0,15,0,0,0,0,0,5,0,5,0,0,0,0,0,5,5,0,0,2,0
8,2021-09-01 11:00:00,40,25,25,35,40,5,0,10,15,5,0,5,0,5,5,0,5,5,5,5,5,5,5,5,0,0,2,0
9,2021-09-01 11:15:00,40,20,25,30,30,30,0,15,10,0,0,10,0,5,5,0,5,5,5,5,5,5,0,0,0,0,2,0
10,2021-09-01 11:30:00,40,20,20,25,25,30,0,15,20,0,0,10,0,5,5,0,5,5,5,5,5,5,0,0,0,0,2,0
11,2021-09-01 11:45:00,35,20,20,25,25,25,0,15,10,0,0,10,0,5,5,0,5,5,5,5,10,5,0,0,0,0,2,0
12,2021-09-01 12:00:00,40,30,25,25,25,15,5,20,15,10,15,5,5,5,5,0,5,5,5,5,15,5,5,5,5,5,2,0
13,2021-09-01 12:15:00,40,30,25,20,20,15,5,10,10,15,20,5,5,5,5,0,5,5,5,5,10,10,5,5,5,5,2,0
14,2021-09-01 12:30:00,35,20,15,20,15,15,10,10,10,15,20,5,5,5,5,0,5,5,5,5,10,10,5,5,5,5,2,0
15,2021-09-01 12:45:00,35,20,15,15,15,10,15,10,10,10,10,5,5,5,5,0,5,5,5,5,10,5,5,5,5,5,2,0
16,2021-09-01 13:00:00,35,20,10,15,20,15,5,10,5,10,10,5,5,5,5,0,5,5,5,5,10,5,5,5,5,5,2,0
17,2021-09-01 13:15:00,35,25,15,20,20,15,5,10,5,5,10,5,5,5,5,0,5,5,5,5,15,10,5,5,5,5,2,0
18,2021-09-01 13:30:00,35,30,10,25,20,15,15,20,10,5,10,5,5,5,5,0,5,5,5,5,15,10,5,5,5,5,2,0
19,2021-09-01 13:45:00,45,40,10,25,20,20,5,15,15,5,20,5,5,5,5,0,5,5,5,5,15,15,5,5,5,5,2,0
20,2021-09-01 14:00:00,40,35,15,25,30,10,15,10,15,5,20,5,5,5,5,0,5,10,5,5,20,15,5,5,5,5,2,0
21,2021-09-01 14:15:00,40,35,10,30,30,10,15,15,10,5,20,5,5,5,5,0,5,10,5,5,20,15,5,5,5,5,2,0
