,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2022-01-01 09:00:00,25,5,20,35,20,5,0,0,10,0,10,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,5,Saturday
1,2022-01-01 09:15:00,25,10,25,35,20,5,0,0,15,0,20,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,5,Saturday
2,2022-01-01 09:30:00,30,10,35,40,40,20,0,0,15,10,20,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,Saturday
3,2022-01-01 09:45:00,30,10,40,45,40,30,0,0,25,20,20,0,0,5,5,5,5,5,5,5,15,5,5,5,0,0,5,Saturday
4,2022-01-01 10:00:00,35,30,40,45,40,30,20,20,30,40,30,0,5,5,5,5,5,5,5,0,15,5,5,5,0,0,5,Saturday
5,2022-01-01 10:15:00,35,25,35,45,40,30,15,25,25,25,25,0,5,5,5,10,10,10,5,0,10,5,5,5,0,0,5,Saturday
6,2022-01-01 10:30:00,40,25,30,30,40,30,25,25,15,20,25,5,5,5,5,10,10,10,10,0,5,5,5,5,0,0,5,Saturday
7,2022-01-01 10:45:00,35,25,30,20,35,30,25,25,20,15,10,5,5,5,5,10,5,10,10,0,5,5,5,5,0,0,5,Saturday
8,2022-01-01 11:00:00,35,25,30,20,35,30,25,35,20,0,20,5,5,5,5,10,5,10,5,5,5,5,5,0,0,0,5,Saturday
9,2022-01-01 11:15:00,35,25,25,20,35,30,25,40,20,0,20,10,5,5,5,10,10,10,5,5,10,5,0,0,0,0,5,Saturday
10,2022-01-01 11:30:00,35,25,25,20,35,20,50,40,20,0,25,15,5,10,5,10,5,10,5,5,15,5,0,0,0,0,5,Saturday
11,2022-01-01 11:45:00,35,25,25,20,30,20,45,35,30,20,25,15,5,5,5,15,10,15,5,10,20,5,5,5,5,0,5,Saturday
12,2022-01-01 12:00:00,40,35,25,30,30,20,45,35,30,30,25,20,5,10,5,20,10,20,10,15,20,10,5,5,5,5,5,Saturday
13,2022-01-01 12:15:00,35,35,25,30,30,25,35,35,30,25,25,20,5,10,10,30,20,25,15,15,15,10,5,5,5,5,5,Saturday
14,2022-01-01 12:30:00,35,35,30,30,40,25,35,35,30,0,25,20,5,15,10,30,20,25,15,15,10,10,5,5,5,5,5,Saturday
15,2022-01-01 12:45:00,35,35,35,40,40,20,25,35,30,0,25,20,5,15,10,30,20,30,20,15,10,10,0,0,0,5,5,Saturday
16,2022-01-01 13:00:00,30,35,35,35,40,20,15,35,25,0,25,20,15,15,10,30,10,30,15,15,20,15,0,0,0,5,5,Saturday
17,2022-01-01 13:15:00,30,40,35,25,35,25,35,25,15,0,25,15,15,15,10,25,10,30,15,20,15,10,0,20,20,5,5,Saturday
18,2022-01-01 13:30:00,30,40,30,30,35,25,20,35,20,15,25,15,5,15,10,25,15,20,15,20,15,15,0,20,20,5,5,Saturday
19,2022-01-01 13:45:00,35,25,30,25,45,30,30,35,20,0,35,15,5,15,10,20,15,25,20,15,15,15,0,20,20,10,5,Saturday
20,2022-01-01 14:00:00,35,35,30,25,40,30,35,40,20,0,25,20,5,10,10,20,20,25,20,15,15,10,0,20,20,15,5,Saturday
21,2022-01-01 14:15:00,35,35,30,20,50,25,25,35,20,0,25,20,5,15,10,20,15,25,10,15,10,5,0,20,20,10,5,Saturday
22,2022-01-01 14:30:00,35,35,35,30,50,20,30,35,30,0,25,20,5,15,15,25,10,25,15,20,10,20,0,20,20,10,5,Saturday
23,2022-01-01 14:45:00,45,35,35,25,50,20,15,40,30,0,25,15,5,15,15,30,10,30,15,15,10,15,0,0,20,10,5,Saturday
24,2022-01-01 15:00:00,45,35,35,25,40,25,30,25,25,0,25,15,15,15,15,30,20,30,25,15,25,20,0,0,0,10,5,Saturday
25,2022-01-01 15:15:00,40,35,30,20,35,15,30,30,25,0,25,15,15,15,15,25,20,30,25,20,20,15,0,0,0,10,5,Saturday
26,2022-01-01 15:30:00,40,30,35,20,35,10,35,35,25,25,25,15,15,15,10,20,20,25,20,15,20,20,5,5,5,5,5,Saturday
27,2022-01-01 15:45:00,35,30,35,25,35,15,35,35,25,30,30,15,15,15,15,20,20,30,20,15,20,15,5,5,5,5,5,Saturday
28,2022-01-01 16:00:00,35,30,30,25,35,25,35,40,25,35,30,15,10,10,15,30,30,25,20,15,15,15,5,5,5,5,5,Saturday
29,2022-01-01 16:15:00,35,30,30,25,35,25,40,35,25,35,30,15,10,10,15,30,10,25,20,15,20,15,5,5,5,10,5,Saturday
30,2022-01-01 16:30:00,35,40,30,25,35,25,25,40,25,45,30,15,5,20,15,25,10,35,20,20,20,20,5,5,5,10,5,Saturday
31,2022-01-01 16:45:00,35,40,30,25,35,25,30,35,20,45,30,10,5,20,15,25,15,35,20,15,20,15,5,15,15,10,5,Saturday
32,2022-01-01 17:00:00,35,35,25,20,35,25,30,40,0,35,25,10,5,20,15,25,15,25,20,15,15,15,5,15,15,0,5,Saturday
33,2022-01-01 17:15:00,35,35,20,20,35,25,25,35,0,45,20,10,5,10,15,25,15,30,20,20,10,15,5,15,15,0,5,Saturday
34,2022-01-01 17:30:00,30,35,20,15,35,20,30,35,5,40,20,15,10,10,15,25,10,30,20,20,15,15,5,20,15,0,5,Saturday
35,2022-01-01 17:45:00,30,35,20,15,35,25,25,35,5,40,20,15,10,10,15,25,10,25,15,20,20,15,5,20,15,0,5,Saturday
36,2022-01-01 18:00:00,30,35,20,10,35,25,25,40,20,50,20,10,15,10,15,25,10,25,15,10,20,20,5,10,15,0,5,Saturday
37,2022-01-01 18:15:00,30,35,20,15,40,30,35,40,20,45,15,10,15,10,15,20,5,25,15,10,20,20,5,10,15,0,5,Saturday
38,2022-01-01 18:30:00,30,35,20,15,40,30,25,40,20,35,15,20,15,10,15,20,10,25,20,15,20,20,5,20,15,0,5,Saturday
39,2022-01-01 18:45:00,35,30,20,15,40,20,25,40,20,35,15,30,15,5,15,15,10,25,20,10,5,10,5,10,0,0,5,Saturday
40,2022-01-01 19:00:00,35,30,25,15,30,20,10,40,15,40,15,25,15,5,10,20,10,20,20,15,5,15,5,5,0,0,5,Saturday
41,2022-01-01 19:15:00,35,35,25,10,30,30,45,40,10,40,25,20,15,5,10,20,10,20,20,15,10,15,5,5,0,0,5,Saturday
42,2022-01-01 19:30:00,35,30,25,10,35,30,30,40,10,45,30,20,5,10,10,15,10,20,10,15,5,20,5,5,0,0,5,Saturday
43,2022-01-01 19:45:00,35,30,20,10,40,25,30,40,10,45,20,20,5,5,5,15,10,10,10,15,5,20,5,5,0,0,5,Saturday
44,2022-01-01 20:00:00,35,20,10,10,30,20,0,0,5,30,15,20,5,5,5,15,10,10,10,10,5,10,5,15,0,0,5,Saturday
45,2022-01-01 20:15:00,25,25,10,10,30,20,0,0,10,40,10,20,5,5,5,15,5,10,10,5,5,10,5,15,0,0,5,Saturday
