,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2024-01-01 09:00:00,165,115,40,60,10,5,0,15,5,15,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,0,1
1,2024-01-01 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2024-01-01 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2024-01-01 09:45:00,150,140,50,90,85,70,0,30,25,0,30,15,0,5,5,15,5,10,5,5,15,5,5,0,0,0,0,1
4,2024-01-01 10:00:00,140,110,55,85,90,65,0,40,40,0,40,25,5,5,5,15,10,10,10,10,15,5,0,0,0,5,0,1
5,2024-01-01 10:15:00,130,100,55,85,90,65,0,35,40,0,50,20,5,10,5,15,10,10,15,10,15,10,0,0,0,5,0,1
6,2024-01-01 10:30:00,120,90,40,90,80,60,0,45,35,0,50,20,5,10,5,15,15,15,15,10,10,10,0,0,0,5,0,1
7,2024-01-01 10:45:00,130,95,50,90,80,55,0,45,45,0,30,20,5,5,5,15,15,15,15,10,15,10,0,0,0,5,0,1
8,2024-01-01 11:00:00,130,100,60,95,60,50,0,45,55,0,30,20,5,10,5,20,15,20,25,15,20,10,0,0,5,15,0,1
9,2024-01-01 11:15:00,135,110,55,95,50,45,0,35,60,0,30,15,5,10,5,20,15,20,25,15,15,10,0,0,5,15,0,1
10,2024-01-01 11:30:00,125,110,55,95,50,45,0,45,60,0,30,15,5,10,5,20,15,25,20,15,10,15,0,0,0,15,0,1
11,2024-01-01 11:45:00,125,110,45,80,55,50,0,35,60,0,60,15,5,10,5,20,15,25,15,15,15,5,0,0,0,15,0,1
12,2024-01-01 12:00:00,125,110,45,75,55,55,0,45,60,0,60,20,5,10,5,20,15,25,15,15,20,10,0,0,0,15,0,1
13,2024-01-01 12:15:00,115,100,35,70,65,65,0,50,60,0,60,25,5,15,5,20,15,20,15,15,20,10,0,5,5,20,0,1
14,2024-01-01 12:30:00,110,90,50,75,65,65,0,35,55,0,20,20,5,15,5,20,15,20,15,15,15,15,0,5,5,25,0,1
15,2024-01-01 12:45:00,120,90,45,70,70,60,0,50,30,0,20,20,5,15,5,20,15,20,15,15,15,15,0,5,5,15,0,1
16,2024-01-01 13:00:00,120,95,45,75,80,55,0,35,25,0,30,25,5,15,5,25,15,20,15,15,10,15,0,20,5,15,0,1
17,2024-01-01 13:15:00,110,85,40,75,95,55,0,30,25,0,20,25,5,15,5,25,15,20,15,15,5,15,0,0,20,15,0,1
