,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2023-03-01 09:00:00,150,70,75,70,25,20,0,0,5,5,5,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,2,Wednesday
1,2023-03-01 09:15:00,180,80,90,75,20,30,0,0,5,5,5,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,2,Wednesday
2,2023-03-01 09:30:00,150,90,85,75,55,40,0,0,5,5,15,5,0,5,5,10,5,5,5,5,5,5,5,5,0,0,2,Wednesday
3,2023-03-01 09:45:00,150,100,85,75,60,45,0,0,5,5,15,5,0,5,5,10,5,5,10,5,5,5,5,5,0,0,2,Wednesday
4,2023-03-01 10:00:00,145,90,85,85,60,55,25,0,15,20,15,5,5,5,5,15,10,10,10,10,5,5,5,5,0,0,2,Wednesday
5,2023-03-01 10:15:00,150,95,80,85,65,55,20,0,20,20,15,5,5,5,5,20,10,15,10,10,5,5,5,5,0,0,2,Wednesday
6,2023-03-01 10:30:00,140,85,75,90,60,55,25,0,25,20,15,25,5,10,5,20,10,20,15,10,5,5,5,5,0,0,2,Wednesday
7,2023-03-01 10:45:00,120,85,70,90,55,55,25,0,20,25,20,25,5,10,5,20,10,20,15,15,5,5,5,5,0,0,2,Wednesday
8,2023-03-01 11:00:00,120,85,70,80,60,55,25,0,20,10,20,25,5,10,5,20,10,25,20,15,5,5,5,5,0,5,2,Wednesday
9,2023-03-01 11:15:00,120,85,70,80,55,55,15,0,20,15,20,20,5,10,5,20,10,30,20,10,5,5,5,5,0,5,2,Wednesday
