,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2022-11-01 09:00:00,105,100,100,0,25,0,0,25,10,15,15,5,0,0,5,20,5,15,0,0,5,5,5,5,0,0,1,0
1,2022-11-01 09:15:00,100,80,120,0,25,0,0,35,15,15,20,5,0,0,5,20,5,15,0,0,5,5,5,5,0,0,1,0
2,2022-11-01 09:30:00,100,90,100,0,35,0,0,30,15,25,15,5,0,5,5,15,10,15,10,5,5,5,5,5,0,0,1,0
3,2022-11-01 09:45:00,95,90,100,10,40,0,0,15,20,25,15,5,0,5,5,20,15,15,10,10,5,5,5,5,0,0,1,0
4,2022-11-01 10:00:00,90,75,90,40,40,0,5,35,10,30,15,15,5,5,5,20,10,15,15,5,5,5,5,5,0,0,1,0
5,2022-11-01 10:15:00,90,80,90,50,35,0,15,20,10,25,40,15,5,5,5,20,10,15,10,10,5,5,5,5,0,0,1,0
6,2022-11-01 10:30:00,80,80,80,65,30,0,15,20,10,15,25,15,5,5,5,15,15,15,5,5,5,5,5,5,0,0,1,0
7,2022-11-01 10:45:00,75,80,75,65,30,0,20,30,15,20,25,25,5,5,5,15,15,15,10,5,5,5,5,5,0,0,1,0
8,2022-11-01 11:00:00,75,80,75,65,35,0,25,20,15,25,25,25,5,5,5,20,15,15,15,10,5,5,5,5,0,5,1,0
9,2022-11-01 11:15:00,85,65,70,65,45,0,25,20,15,15,20,25,5,5,5,20,15,20,20,10,5,5,5,5,0,5,1,0
10,2022-11-01 11:30:00,85,65,65,70,45,0,15,30,15,10,20,25,5,15,5,25,15,15,15,10,10,5,5,5,0,5,1,0
11,2022-11-01 11:45:00,85,65,65,65,45,0,15,30,15,10,20,10,5,15,5,20,15,25,15,15,5,5,5,5,0,5,1,0
12,2022-11-01 12:00:00,85,65,70,65,40,0,20,30,15,10,15,10,5,15,5,20,15,25,15,15,5,5,5,5,0,5,1,0
13,2022-11-01 12:15:00,80,70,70,60,40,0,20,35,10,5,15,10,5,15,5,25,15,25,10,10,5,5,5,5,0,5,1,0
14,2022-11-01 12:30:00,80,70,75,60,40,0,25,35,10,5,15,20,5,15,5,30,10,20,15,10,5,5,5,5,0,5,1,0
15,2022-11-01 12:45:00,80,70,70,60,40,0,15,30,15,10,15,20,5,15,5,30,10,20,15,10,5,5,5,5,0,5,1,0
16,2022-11-01 13:00:00,75,75,70,60,40,0,15,30,10,20,15,20,5,15,5,30,15,20,20,10,15,5,5,5,0,5,1,0
17,2022-11-01 13:15:00,60,65,65,60,30,0,20,25,10,20,20,15,5,10,5,30,15,20,20,10,15,5,5,5,0,5,1,0
18,2022-11-01 13:30:00,75,65,70,65,30,0,20,15,10,15,20,15,5,10,5,25,15,25,15,10,10,5,5,5,0,5,1,0
19,2022-11-01 13:45:00,75,65,80,60,35,0,15,30,5,5,15,15,5,15,5,25,15,25,15,10,5,5,5,5,0,5,1,0
20,2022-11-01 14:00:00,80,60,65,60,40,0,25,30,10,10,15,20,5,15,5,25,15,25,20,10,10,5,5,5,0,10,1,0
21,2022-11-01 14:15:00,70,60,75,60,50,0,15,20,10,15,15,20,5,15,5,25,15,25,15,15,15,10,5,5,0,10,1,0
22,2022-11-01 14:30:00,75,75,80,65,50,0,15,35,10,20,20,20,5,15,5,30,15,25,15,15,15,5,5,5,0,10,1,0
23,2022-11-01 14:45:00,75,75,75,65,40,0,15,35,30,20,15,20,5,15,5,25,15,25,15,15,15,10,5,5,0,10,1,0
24,2022-11-01 15:00:00,80,70,75,65,25,0,15,35,15,20,15,20,5,25,5,30,15,25,15,15,15,10,5,5,0,10,1,0
25,2022-11-01 15:15:00,75,70,75,65,25,0,20,30,15,20,15,25,10,20,5,30,15,25,15,15,15,10,5,5,0,10,1,0
26,2022-11-01 15:30:00,75,70,70,60,35,0,15,30,10,15,15,30,10,20,5,25,15,25,15,15,15,15,5,5,0,5,1,0
27,2022-11-01 15:45:00,80,60,70,60,35,0,15,30,10,15,15,30,10,20,5,25,15,20,15,10,10,10,5,5,0,5,1,0
28,2022-11-01 16:00:00,90,60,70,60,35,0,15,30,15,10,15,10,15,20,5,25,15,25,15,10,5,10,5,5,0,5,1,0
29,2022-11-01 16:15:00,80,70,75,50,35,0,15,25,10,10,15,10,15,20,5,25,15,25,20,10,10,10,5,5,0,5,1,0
30,2022-11-01 16:30:00,80,80,80,50,35,0,20,35,10,20,15,15,15,20,5,25,15,20,20,10,10,10,5,5,0,5,1,0
31,2022-11-01 16:45:00,75,80,80,50,35,0,40,35,5,25,15,15,10,15,5,25,15,25,15,10,10,15,5,15,0,5,1,0
32,2022-11-01 17:00:00,80,80,80,55,30,0,20,35,5,25,15,15,10,15,5,25,10,20,15,5,5,10,5,10,0,0,1,0
33,2022-11-01 17:15:00,80,75,80,55,30,0,15,35,5,30,15,15,10,15,5,25,20,20,15,10,10,10,5,5,0,0,1,0
34,2022-11-01 17:30:00,75,70,75,55,25,0,15,20,10,35,15,10,10,15,5,20,20,25,10,10,10,10,5,5,0,0,1,0
35,2022-11-01 17:45:00,80,65,75,50,15,0,20,25,10,40,15,10,5,15,5,20,20,20,15,10,10,5,5,5,0,0,1,0
