,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2021-11-01 09:00:00,15,15,5,5,5,0,0,0,5,5,10,5,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0
1,2021-11-01 09:15:00,25,35,10,10,5,0,0,0,5,5,10,5,0,0,5,5,5,5,5,5,5,5,0,5,0,0,0,0
2,2021-11-01 09:30:00,30,50,30,20,5,0,0,0,5,0,10,5,0,5,5,5,5,5,5,5,5,5,0,5,0,0,0,0
3,2021-11-01 09:45:00,30,55,40,25,15,0,0,0,5,0,10,5,0,5,5,5,5,5,5,5,5,5,0,5,0,0,0,0
4,2021-11-01 10:00:00,30,60,45,35,35,0,5,5,5,30,20,0,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0,0
5,2021-11-01 10:15:00,30,45,45,40,35,0,15,35,15,35,30,0,5,5,5,5,5,5,5,5,15,5,5,5,0,0,0,0
6,2021-11-01 10:30:00,30,40,45,35,35,0,15,40,10,35,30,0,5,5,5,15,5,10,5,5,15,5,5,5,0,0,0,0
7,2021-11-01 10:45:00,30,30,35,35,35,0,5,40,10,35,30,0,5,5,5,15,5,10,5,5,15,5,5,5,0,0,0,0
8,2021-11-01 11:00:00,30,30,40,40,35,0,15,40,15,0,30,0,5,10,5,20,15,10,10,10,15,5,5,5,0,0,0,0
9,2021-11-01 11:15:00,30,35,40,45,30,0,15,40,25,0,35,0,5,10,5,25,20,25,10,15,15,5,0,0,0,0,0,0
10,2021-11-01 11:30:00,30,35,40,35,25,0,30,40,20,0,25,5,5,10,5,25,20,30,20,10,15,5,0,0,0,0,0,0
11,2021-11-01 11:45:00,25,35,40,35,25,0,15,35,15,0,15,5,5,10,5,30,20,30,15,10,15,5,0,0,0,0,0,0
12,2021-11-01 12:00:00,25,35,35,30,25,0,20,45,5,0,15,25,10,10,10,20,20,20,15,15,15,10,0,0,0,5,0,0
13,2021-11-01 12:15:00,25,35,35,30,35,0,30,0,5,40,20,25,10,10,5,20,20,15,15,15,20,10,5,5,5,5,0,0
14,2021-11-01 12:30:00,30,40,35,35,35,0,35,25,5,30,25,20,10,10,5,20,20,10,15,15,20,10,5,5,5,5,0,0
15,2021-11-01 12:45:00,30,40,25,35,35,0,20,20,5,30,25,20,15,15,5,20,10,15,15,15,15,10,5,5,5,5,0,0
16,2021-11-01 13:00:00,30,45,25,35,35,0,30,25,5,25,25,20,15,15,5,20,15,15,15,10,10,10,5,5,5,5,0,0
17,2021-11-01 13:15:00,30,45,30,30,35,0,15,35,5,25,20,10,15,25,5,20,15,20,15,10,15,15,5,5,5,5,0,0
18,2021-11-01 13:30:00,25,45,30,35,35,0,20,35,10,20,20,10,15,20,5,20,10,20,15,10,15,15,5,5,5,5,0,0
19,2021-11-01 13:45:00,25,45,25,30,35,0,30,35,5,0,20,15,15,20,5,20,10,20,15,15,15,20,0,0,0,5,0,0
20,2021-11-01 14:00:00,25,45,30,25,35,0,20,35,5,0,20,15,10,20,5,20,10,15,15,10,15,15,0,0,0,5,0,0
21,2021-11-01 14:15:00,30,45,35,25,45,0,30,40,5,0,20,15,10,20,5,20,10,20,15,10,10,20,0,0,0,5,0,0
22,2021-11-01 14:30:00,30,45,30,25,50,0,35,25,5,0,20,15,15,20,5,25,10,15,10,10,10,20,0,0,0,5,0,0
23,2021-11-01 14:45:00,35,45,30,40,50,0,0,35,5,25,20,15,15,20,5,25,10,15,20,10,10,20,5,5,5,5,0,0
24,2021-11-01 15:00:00,35,45,30,40,50,0,0,35,5,30,20,15,15,10,5,25,10,15,15,10,0,0,5,5,5,10,0,0
25,2021-11-01 15:15:00,35,50,35,25,40,0,0,35,5,35,20,20,15,30,5,25,15,15,15,10,0,0,5,20,10,10,0,0
26,2021-11-01 15:30:00,35,50,35,30,40,0,15,35,10,35,15,20,15,30,5,25,20,20,15,10,0,0,5,25,15,10,0,0
27,2021-11-01 15:45:00,35,50,30,25,0,0,25,35,5,40,15,20,10,25,5,25,15,15,15,10,0,0,5,15,15,5,0,0
28,2021-11-01 16:00:00,35,50,30,30,0,0,30,35,5,35,20,25,5,20,5,25,15,20,15,5,5,10,5,20,15,5,0,0
29,2021-11-01 16:15:00,35,50,30,30,0,0,40,40,5,40,20,25,10,20,5,25,15,20,15,15,10,10,5,15,10,5,0,0
